blockId,zone,blockType,siteQuality,agroZone,soilClass,slopeClass,areaHa,plantingYear,rotationAge,firstThinningYear,secondThinningYear,finalHarvestYear,treesPerHa,avgDBH_cm,avgHeight_m,stocking_m3_per_ha,heartwoodShare_pct,riskIndex,roadDistance_km,marketDistance_km,nextOperationType,nextOperationYear,priorityScore
140,Zone-2,Block,Good,Low Rainfall,Laterite,Moderate,7.99,2017,29,2025,2031,2046,1111,12.2,12.7,24.76,14.7,68.0,4.08,79.79,SecondThinning,2031,97.0
141,Zone-2,Estate,Excellent,High Rainfall,Loam,Steep,20.14,2017,26,2027,2032,2043,1600,15.1,9.5,57.78,17.6,61.5,15.8,10.55,FirstThinning,2027,100.0
142,Zone-5,Block,Excellent,High Rainfall,Laterite,Flat,19.98,2006,33,2013,2018,2039,1600,24.6,16.8,165.15,39.5,41.3,19.67,55.81,FinalHarvest,2039,82.1
143,Zone-4,Boundary,Excellent,Low Rainfall,Sandy,Flat,7.21,2011,33,2019,2026,2044,625,21.7,17.7,55.39,29.8,60.7,3.1,79.83,SecondThinning,2026,98.9
144,Zone-4,Estate,Good,Medium Rainfall,Sandy,Flat,20.95,2018,24,2027,2032,2042,1111,13.6,9.2,52.43,13.8,54.3,8.82,57.26,FirstThinning,2027,100.0
145,Zone-3,Estate,Good,Low Rainfall,Sandy,Flat,21.38,2015,23,2023,2028,2038,1600,14.4,10.0,61.57,19.3,53.9,15.98,52.23,SecondThinning,2028,99.6
146,Zone-2,Block,Excellent,Low Rainfall,Loam,Steep,15.21,2007,25,2015,2020,2032,1111,25.5,20.5,159.02,31.6,43.1,17.45,19.02,FinalHarvest,2032,92.6
147,Zone-3,Farmer,Excellent,Low Rainfall,Clay,Steep,13.67,2015,30,2025,2031,2045,816,14.7,10.1,40.59,23.5,58.5,16.29,57.95,SecondThinning,2031,94.7
148,Zone-3,Estate,Medium,Medium Rainfall,Sandy,Gentle,8.33,2000,22,2008,2016,2022,1111,33.4,21.7,120.75,48.8,45.6,12.75,57.01,FinalHarvestOverdue,2025,98.3
149,Zone-2,Farmer,Excellent,Medium Rainfall,Loam,Gentle,8.55,2009,34,2016,2023,2043,1111,22.8,15.6,60.82,30.8,56.8,13.1,35.69,FinalHarvest,2043,80.8
150,Zone-4,Block,Excellent,Medium Rainfall,Loam,Flat,14.57,2020,28,2029,2032,2048,1111,6.1,5.2,9.24,12.8,57.0,15.47,42.15,FirstThinning,2029,97.2
151,Zone-5,Estate,Poor,Medium Rainfall,Clay,Flat,19.24,2009,22,2017,2024,2031,1600,25.4,19.2,187.66,29.5,66.2,0.74,24.71,FinalHarvest,2031,96.4
152,Zone-1,Block,Poor,Low Rainfall,Loam,Moderate,21.67,2014,21,2022,2030,2035,1600,25.8,20.5,229.23,25.1,57.1,10.69,49.76,SecondThinning,2030,96.0
153,Zone-2,Boundary,Good,Medium Rainfall,Clay,Flat,4.25,2019,28,2026,2033,2047,625,16.9,8.8,12.64,15.7,47.5,14.26,67.14,FirstThinning,2026,98.3
154,Zone-4,Block,Medium,High Rainfall,Clay,Steep,10.0,1997,25,2004,2012,2022,1111,38.9,30.5,237.29,55.5,54.6,11.68,70.17,FinalHarvestOverdue,2025,98.9
155,Zone-1,Block,Good,Low Rainfall,Laterite,Gentle,24.24,2001,29,2010,2015,2030,1111,31.8,26.9,414.71,48.7,54.6,6.94,56.19,FinalHarvest,2030,95.3
156,Zone-1,Estate,Poor,High Rainfall,Laterite,Flat,3.98,2000,21,2010,2012,2021,1111,29.0,28.3,65.33,46.3,59.5,3.26,74.95,FinalHarvestOverdue,2025,100.0
157,Zone-3,Estate,Good,Medium Rainfall,Sandy,Moderate,16.95,2015,24,2022,2030,2039,1111,15.8,12.5,66.95,19.3,42.7,1.99,21.01,SecondThinning,2030,94.9
158,Zone-1,Farmer,Medium,High Rainfall,Laterite,Flat,1.19,2005,20,2015,2018,2025,816,18.7,17.1,7.61,42.3,43.1,6.34,71.07,FinalHarvestOverdue,2025,98.6
159,Zone-2,Block,Medium,High Rainfall,Loam,Flat,13.73,1995,24,2003,2010,2019,1111,39.4,27.5,297.53,56.5,52.4,13.76,69.5,FinalHarvestOverdue,2025,98.9
160,Zone-1,Estate,Medium,Low Rainfall,Laterite,Moderate,24.12,2005,21,2013,2019,2026,1600,20.5,18.8,185.92,42.2,48.5,18.83,7.01,FinalHarvest,2026,98.3
161,Zone-3,Farmer,Medium,High Rainfall,Laterite,Moderate,16.51,2020,21,2030,2035,2041,1111,6.2,6.6,13.51,10.0,66.7,0.34,32.08,FirstThinning,2030,97.9
162,Zone-3,Farmer,Excellent,High Rainfall,Laterite,Moderate,14.11,2000,32,2007,2012,2032,625,26.4,23.1,172.1,45.4,41.8,15.81,43.0,FinalHarvest,2032,89.6
163,Zone-5,Block,Excellent,High Rainfall,Laterite,Flat,16.37,2012,34,2020,2026,2046,1600,21.1,18.1,125.04,23.0,64.2,10.77,34.3,SecondThinning,2026,99.2
164,Zone-1,Boundary,Excellent,High Rainfall,Loam,Flat,6.87,2008,26,2018,2024,2034,625,24.1,16.5,54.64,36.4,62.2,2.48,58.09,FinalHarvest,2034,94.0
165,Zone-1,Farmer,Excellent,Medium Rainfall,Clay,Gentle,9.92,2018,29,2025,2030,2047,816,16.5,9.6,31.43,10.0,61.4,11.58,10.78,SecondThinning,2030,96.7
166,Zone-4,Boundary,Poor,Medium Rainfall,Loam,Moderate,4.78,2019,18,2026,2032,2037,625,15.9,8.0,12.16,15.6,40.4,1.02,32.3,FirstThinning,2026,97.9
167,Zone-2,Farmer,Poor,High Rainfall,Laterite,Gentle,8.72,2008,20,2017,2020,2028,625,21.7,18.0,68.12,38.0,45.4,16.11,78.61,FinalHarvest,2028,96.1
168,Zone-4,Estate,Excellent,Medium Rainfall,Clay,Moderate,3.07,2009,25,2018,2022,2034,1111,23.6,16.4,23.76,33.2,53.9,11.87,42.0,FinalHarvest,2034,92.8
169,Zone-2,Farmer,Medium,Low Rainfall,Laterite,Flat,6.59,2006,25,2013,2020,2031,1111,25.6,17.0,57.36,40.4,49.2,4.18,78.73,FinalHarvest,2031,91.8
170,Zone-4,Block,Poor,Low Rainfall,Clay,Flat,2.05,2002,22,2012,2016,2024,1111,44.5,21.0,38.31,42.0,44.0,16.42,10.61,FinalHarvestOverdue,2025,98.0
171,Zone-5,Estate,Excellent,High Rainfall,Loam,Gentle,8.0,2005,31,2014,2019,2036,1111,20.7,14.6,48.36,37.0,63.4,11.74,16.66,FinalHarvest,2036,90.3
172,Zone-2,Block,Excellent,Medium Rainfall,Laterite,Flat,13.86,2019,28,2029,2033,2047,1111,12.1,8.7,29.18,10.0,60.6,16.55,57.27,FirstThinning,2029,97.9
173,Zone-1,Farmer,Good,Low Rainfall,Sandy,Gentle,24.24,2007,30,2014,2021,2037,816,26.2,15.4,195.61,40.5,65.6,11.16,46.26,FinalHarvest,2037,90.1
174,Zone-1,Block,Poor,Low Rainfall,Sandy,Flat,2.48,2019,19,2027,2032,2038,1111,13.0,11.8,7.61,13.4,57.5,5.25,65.96,FirstThinning,2027,99.9
175,Zone-1,Estate,Medium,High Rainfall,Laterite,Gentle,3.21,2020,22,2027,2032,2042,1111,5.3,7.7,2.62,10.0,61.7,9.97,33.7,FirstThinning,2027,99.5
176,Zone-4,Farmer,Good,Low Rainfall,Loam,Moderate,7.72,1999,22,2007,2013,2021,816,33.2,26.6,136.35,47.6,48.4,2.83,19.96,FinalHarvestOverdue,2025,100.0
177,Zone-5,Farmer,Poor,Medium Rainfall,Clay,Steep,14.07,2010,20,2019,2025,2030,816,19.8,16.6,92.49,27.2,66.9,15.59,9.39,FinalHarvest,2030,98.4
178,Zone-4,Boundary,Medium,Low Rainfall,Sandy,Gentle,16.76,2003,24,2010,2016,2027,625,36.5,31.8,389.07,42.9,68.1,19.83,18.03,FinalHarvest,2027,100.0
179,Zone-2,Boundary,Good,High Rainfall,Sandy,Moderate,23.74,2013,24,2021,2028,2037,625,23.4,15.4,171.1,19.4,41.7,12.07,6.49,SecondThinning,2028,96.7
180,Zone-4,Estate,Good,High Rainfall,Loam,Gentle,9.18,2000,27,2007,2012,2027,1600,36.7,31.0,208.88,52.7,65.4,17.23,77.04,FinalHarvest,2027,100.0
181,Zone-3,Block,Poor,Medium Rainfall,Clay,Moderate,4.27,2000,21,2010,2014,2021,1600,39.1,26.7,89.16,53.9,58.4,7.2,54.91,FinalHarvestOverdue,2025,100.0
182,Zone-2,Block,Good,High Rainfall,Clay,Gentle,5.26,1995,28,2002,2008,2023,1111,43.4,31.6,144.28,57.2,57.0,18.74,15.55,FinalHarvestOverdue,2025,100.0
183,Zone-1,Farmer,Good,Medium Rainfall,Loam,Flat,20.72,2016,27,2026,2028,2043,816,11.7,12.2,59.15,16.5,63.6,14.44,8.61,FirstThinning,2026,100.0
184,Zone-4,Block,Medium,Medium Rainfall,Laterite,Steep,9.43,2007,20,2017,2023,2027,1600,19.6,14.6,53.97,39.5,48.8,6.44,76.37,FinalHarvest,2027,97.8
185,Zone-1,Boundary,Medium,Medium Rainfall,Loam,Flat,14.13,1997,22,2007,2009,2019,625,33.6,27.8,263.97,57.1,53.0,1.17,29.83,FinalHarvestOverdue,2025,99.8
186,Zone-2,Block,Good,High Rainfall,Clay,Moderate,6.7,1996,28,2006,2009,2024,1600,32.2,25.1,108.3,55.9,59.9,12.04,19.98,FinalHarvestOverdue,2025,100.0
187,Zone-1,Farmer,Medium,High Rainfall,Clay,Flat,12.37,1998,22,2008,2013,2020,816,42.9,23.2,246.23,55.4,51.6,7.48,33.61,FinalHarvestOverdue,2025,99.5
188,Zone-2,Block,Poor,Medium Rainfall,Laterite,Steep,7.32,2003,22,2010,2016,2025,1600,26.7,24.1,94.2,44.4,69.1,11.84,46.52,FinalHarvestOverdue,2025,100.0
189,Zone-4,Block,Excellent,High Rainfall,Loam,Steep,8.17,2007,25,2015,2019,2032,1111,19.7,21.9,70.5,40.7,64.3,2.61,36.75,FinalHarvest,2032,96.9
190,Zone-4,Farmer,Medium,High Rainfall,Clay,Moderate,22.86,2020,20,2027,2035,2040,625,7.0,5.3,16.96,10.0,53.7,17.48,63.99,FirstThinning,2027,98.7
191,Zone-5,Block,Poor,Medium Rainfall,Loam,Gentle,14.6,2013,18,2020,2029,2031,1600,25.9,20.9,158.06,27.8,66.3,5.36,54.11,SecondThinning,2029,100.0
192,Zone-5,Block,Poor,Low Rainfall,Clay,Steep,4.45,2014,21,2021,2029,2035,1111,24.9,14.4,31.91,21.8,48.1,7.51,30.34,SecondThinning,2029,95.2
193,Zone-3,Boundary,Good,Medium Rainfall,Sandy,Gentle,4.23,2018,29,2027,2032,2047,625,15.8,11.6,15.51,10.0,53.3,18.28,35.54,FirstThinning,2027,98.1
194,Zone-4,Boundary,Poor,High Rainfall,Loam,Flat,8.47,2011,21,2019,2027,2032,625,26.8,14.2,64.47,24.9,65.0,16.76,23.71,SecondThinning,2027,100.0
195,Zone-4,Estate,Good,High Rainfall,Loam,Moderate,9.84,2009,30,2019,2021,2039,1600,20.4,17.9,71.86,31.5,68.8,9.54,46.35,FinalHarvest,2039,88.8
196,Zone-3,Farmer,Good,High Rainfall,Sandy,Moderate,1.66,1996,24,2004,2009,2020,625,29.5,22.5,22.04,59.5,55.4,17.31,77.54,FinalHarvestOverdue,2025,100.0
197,Zone-1,Block,Medium,High Rainfall,Loam,Flat,6.37,2014,22,2023,2029,2036,1111,26.5,17.7,59.76,19.2,49.1,10.46,51.77,SecondThinning,2029,95.0
198,Zone-5,Estate,Poor,High Rainfall,Clay,Moderate,8.16,1998,21,2005,2012,2019,1111,37.8,30.3,186.92,51.6,61.3,17.86,27.41,FinalHarvestOverdue,2025,100.0
199,Zone-2,Farmer,Poor,High Rainfall,Laterite,Moderate,17.34,2018,18,2028,2032,2036,816,17.3,10.4,62.4,16.4,57.5,19.9,66.2,FirstThinning,2028,99.3
200,Zone-3,Farmer,Excellent,High Rainfall,Clay,Moderate,21.29,2016,33,2024,2030,2049,1111,13.8,12.4,72.86,20.3,56.8,18.26,76.02,SecondThinning,2030,94.2
201,Zone-3,Estate,Medium,Medium Rainfall,Loam,Moderate,11.09,2005,22,2014,2021,2027,1111,22.6,14.9,74.69,35.5,59.0,11.65,51.55,FinalHarvest,2027,99.0
202,Zone-4,Farmer,Poor,High Rainfall,Laterite,Moderate,10.91,1999,19,2007,2013,2018,816,44.7,30.7,299.43,56.9,44.3,17.26,18.53,FinalHarvestOverdue,2025,99.3
203,Zone-1,Block,Good,High Rainfall,Loam,Moderate,16.23,1995,29,2004,2008,2024,1600,36.5,21.9,259.47,62.9,63.4,2.68,37.53,FinalHarvestOverdue,2025,100.0
204,Zone-4,Block,Excellent,Medium Rainfall,Laterite,Flat,1.91,2001,30,2008,2015,2031,1600,25.4,20.0,19.41,50.3,46.8,17.55,28.41,FinalHarvest,2031,92.4
205,Zone-1,Block,Good,Low Rainfall,Sandy,Flat,8.16,2004,29,2013,2019,2033,1600,31.9,30.8,160.35,40.6,45.7,18.97,73.87,FinalHarvest,2033,90.5
206,Zone-4,Estate,Medium,Low Rainfall,Loam,Gentle,18.62,2013,24,2021,2025,2037,1111,25.1,20.3,189.75,22.8,59.2,15.45,51.74,FinalHarvest,2037,88.2
207,Zone-5,Estate,Poor,High Rainfall,Sandy,Flat,17.55,2008,21,2018,2020,2029,1111,22.7,15.2,121.11,36.0,58.9,6.09,54.62,FinalHarvest,2029,97.4
208,Zone-5,Boundary,Medium,Medium Rainfall,Sandy,Flat,7.78,2020,20,2030,2033,2040,625,8.0,7.1,8.84,13.3,69.2,7.22,35.73,FirstThinning,2030,98.8
209,Zone-2,Estate,Excellent,Low Rainfall,Laterite,Moderate,6.63,1995,35,2002,2007,2030,1111,28.0,21.1,78.34,60.1,61.7,2.12,24.19,FinalHarvest,2030,94.3
210,Zone-2,Block,Good,Medium Rainfall,Laterite,Flat,3.4,2000,22,2009,2014,2022,1111,33.5,21.4,48.75,53.5,66.7,0.29,15.38,FinalHarvestOverdue,2025,100.0
211,Zone-2,Boundary,Good,Medium Rainfall,Clay,Flat,9.94,2005,24,2012,2020,2029,625,22.0,17.7,77.41,43.4,60.7,9.62,36.63,FinalHarvest,2029,99.5
212,Zone-2,Estate,Medium,High Rainfall,Sandy,Gentle,3.49,2013,23,2023,2026,2036,1111,25.8,18.9,34.04,27.6,66.4,14.57,71.88,SecondThinning,2026,100.0
213,Zone-4,Block,Poor,Medium Rainfall,Laterite,Flat,2.52,2015,20,2022,2031,2035,1600,17.8,12.0,10.77,18.4,55.7,14.04,12.14,SecondThinning,2031,95.1
214,Zone-2,Block,Good,High Rainfall,Laterite,Gentle,21.14,2012,22,2019,2025,2034,1111,26.5,21.0,235.29,21.7,54.7,4.89,77.76,FinalHarvest,2034,94.1
215,Zone-1,Farmer,Excellent,Medium Rainfall,Loam,Flat,12.02,2020,34,2030,2032,2054,816,7.2,4.5,7.79,10.0,59.6,2.14,35.93,FirstThinning,2030,94.3
216,Zone-5,Estate,Poor,High Rainfall,Clay,Gentle,16.71,2009,20,2018,2021,2029,1600,26.4,16.7,147.34,34.7,58.0,14.36,32.25,FinalHarvest,2029,97.6
217,Zone-4,Estate,Poor,High Rainfall,Loam,Flat,9.19,2015,20,2024,2027,2035,1600,17.2,11.0,34.77,23.2,62.3,8.24,24.07,SecondThinning,2027,100.0
218,Zone-2,Farmer,Poor,Medium Rainfall,Loam,Steep,20.79,2001,20,2008,2016,2021,1111,43.5,30.0,542.62,48.9,63.2,9.07,54.38,FinalHarvestOverdue,2025,100.0
219,Zone-5,Farmer,Excellent,Low Rainfall,Sandy,Steep,21.13,2010,33,2018,2026,2043,1111,25.3,15.0,160.38,28.9,58.0,17.67,42.81,SecondThinning,2026,98.4
220,Zone-4,Block,Medium,Medium Rainfall,Laterite,Moderate,24.29,2009,21,2017,2024,2030,1111,26.4,18.4,235.98,30.1,62.1,11.12,21.3,FinalHarvest,2030,97.0
221,Zone-2,Boundary,Good,High Rainfall,Loam,Gentle,13.09,2017,27,2024,2031,2044,625,14.5,11.5,43.66,20.4,61.3,13.52,72.04,SecondThinning,2031,96.5
222,Zone-5,Boundary,Excellent,Low Rainfall,Sandy,Flat,10.14,1996,35,2003,2009,2031,625,30.3,29.4,180.66,62.8,60.5,3.01,9.65,FinalHarvest,2031,93.1
223,Zone-3,Farmer,Poor,Medium Rainfall,Laterite,Flat,15.79,2016,22,2024,2032,2038,816,11.9,12.7,47.73,21.0,48.6,13.32,74.49,SecondThinning,2032,91.9
224,Zone-4,Block,Good,High Rainfall,Sandy,Flat,18.85,2001,29,2009,2015,2030,1600,40.5,31.6,482.48,45.9,45.3,13.68,19.02,FinalHarvest,2030,93.5
225,Zone-2,Estate,Excellent,Low Rainfall,Laterite,Moderate,14.36,1999,27,2008,2011,2026,1111,34.3,31.2,307.35,47.4,67.9,11.98,63.02,FinalHarvest,2026,100.0
226,Zone-5,Boundary,Excellent,High Rainfall,Clay,Flat,19.82,2005,33,2013,2018,2038,625,23.2,20.3,186.69,36.6,56.3,8.13,31.21,FinalHarvest,2038,86.1
227,Zone-2,Boundary,Good,Medium Rainfall,Clay,Gentle,23.81,2014,30,2024,2030,2044,625,26.2,21.8,271.99,17.1,60.1,8.97,72.84,SecondThinning,2030,96.0
228,Zone-5,Farmer,Poor,High Rainfall,Clay,Steep,22.98,1998,21,2007,2014,2019,625,30.7,30.9,435.99,57.2,51.2,16.08,38.42,FinalHarvestOverdue,2025,99.8
229,Zone-1,Boundary,Medium,Medium Rainfall,Sandy,Flat,5.02,2019,24,2026,2031,2043,625,11.7,11.8,13.86,10.0,60.6,16.73,20.42,FirstThinning,2026,99.5
230,Zone-4,Estate,Medium,Low Rainfall,Laterite,Moderate,1.91,1997,20,2005,2011,2017,1600,36.5,22.7,31.65,53.6,51.6,12.64,37.48,FinalHarvestOverdue,2025,100.0
231,Zone-1,Block,Poor,High Rainfall,Sandy,Flat,19.14,2013,18,2020,2027,2031,1600,20.9,19.5,156.01,25.1,48.4,18.54,33.61,SecondThinning,2027,98.5
232,Zone-1,Block,Medium,High Rainfall,Loam,Gentle,18.92,2020,24,2029,2033,2044,1111,8.4,7.7,24.47,13.0,61.9,7.53,76.21,FirstThinning,2029,96.8
233,Zone-5,Farmer,Poor,Low Rainfall,Sandy,Steep,13.89,1997,20,2005,2011,2017,1111,33.3,27.8,257.17,56.1,44.8,4.49,67.61,FinalHarvestOverdue,2025,99.0
234,Zone-2,Estate,Medium,High Rainfall,Sandy,Steep,16.47,1997,22,2004,2011,2019,1600,28.9,27.0,257.03,60.5,50.7,13.46,22.59,FinalHarvestOverdue,2025,99.3
235,Zone-3,Estate,Medium,Medium Rainfall,Laterite,Steep,8.88,2016,22,2024,2032,2038,1111,16.5,13.8,40.44,14.7,49.4,15.73,58.41,SecondThinning,2032,92.1
236,Zone-4,Boundary,Good,Low Rainfall,Clay,Steep,12.11,2006,26,2016,2022,2032,625,19.1,19.2,88.82,33.8,48.4,16.55,71.85,FinalHarvest,2032,93.3
237,Zone-2,Boundary,Poor,High Rainfall,Sandy,Flat,21.39,2015,18,2025,2031,2033,625,11.7,8.2,41.04,17.6,66.8,10.84,54.04,SecondThinning,2031,98.2
238,Zone-2,Boundary,Excellent,Low Rainfall,Clay,Gentle,12.15,2011,26,2021,2025,2037,625,23.0,19.3,107.87,31.5,64.2,12.32,17.44,FinalHarvest,2037,91.4
239,Zone-5,Farmer,Excellent,Low Rainfall,Loam,Gentle,18.66,2010,30,2017,2023,2040,816,20.3,16.1,121.97,27.3,60.1,10.41,64.36,FinalHarvest,2040,86.0
240,Zone-4,Block,Excellent,Low Rainfall,Sandy,Moderate,3.48,2011,35,2020,2025,2046,1600,21.8,17.0,25.79,28.9,66.9,1.65,23.87,FinalHarvest,2046,79.4
241,Zone-2,Block,Good,Medium Rainfall,Laterite,Steep,22.29,1995,30,2003,2010,2025,1600,29.6,26.2,345.73,57.8,44.5,3.23,50.15,FinalHarvestOverdue,2025,97.9
242,Zone-1,Farmer,Excellent,Medium Rainfall,Sandy,Steep,17.21,2010,28,2018,2025,2038,1111,20.4,15.0,105.33,30.9,44.0,10.3,71.81,FinalHarvest,2038,85.6
243,Zone-2,Estate,Medium,Medium Rainfall,Loam,Steep,15.38,2013,25,2020,2027,2038,1600,20.2,18.9,117.44,23.7,54.5,4.47,35.81,SecondThinning,2027,96.9
244,Zone-2,Farmer,Good,Low Rainfall,Clay,Steep,15.32,1997,25,2007,2012,2022,1111,27.2,22.4,186.68,59.6,55.1,8.45,16.22,FinalHarvestOverdue,2025,100.0
245,Zone-1,Farmer,Excellent,High Rainfall,Sandy,Flat,3.24,2016,27,2023,2031,2043,625,13.4,13.2,11.46,20.0,52.9,18.77,41.16,SecondThinning,2031,94.8
246,Zone-4,Boundary,Poor,Medium Rainfall,Loam,Moderate,12.45,2002,18,2011,2018,2020,625,42.5,24.9,263.5,42.9,61.3,15.81,48.35,FinalHarvestOverdue,2025,100.0
247,Zone-1,Estate,Excellent,High Rainfall,Loam,Moderate,10.81,1998,27,2008,2014,2025,1111,30.2,26.4,172.37,54.6,58.4,19.84,34.81,FinalHarvestOverdue,2025,100.0
248,Zone-2,Block,Excellent,Low Rainfall,Clay,Steep,7.09,2004,34,2013,2019,2038,1600,42.1,27.9,166.56,44.5,53.4,14.02,17.13,FinalHarvest,2038,85.1
249,Zone-2,Block,Good,High Rainfall,Sandy,Gentle,10.34,2015,22,2022,2028,2037,1111,17.4,10.6,38.14,15.6,46.7,1.69,7.83,SecondThinning,2028,98.5
250,Zone-4,Block,Good,High Rainfall,Sandy,Gentle,16.37,2009,22,2017,2025,2031,1111,19.9,20.3,132.26,32.1,61.0,12.34,55.55,FinalHarvest,2031,98.4
251,Zone-3,Farmer,Poor,Low Rainfall,Sandy,Moderate,19.71,2006,21,2016,2022,2027,1111,23.2,19.9,181.99,33.7,42.7,5.76,67.23,FinalHarvest,2027,96.1
252,Zone-5,Boundary,Good,Medium Rainfall,Loam,Gentle,11.91,2007,22,2016,2020,2029,625,22.1,14.9,78.44,31.7,48.8,18.95,65.22,FinalHarvest,2029,98.0
253,Zone-3,Boundary,Excellent,Medium Rainfall,Laterite,Gentle,19.18,2019,32,2029,2035,2051,625,16.9,10.9,70.66,10.0,51.5,15.79,21.53,FirstThinning,2029,94.5
254,Zone-2,Boundary,Excellent,Medium Rainfall,Sandy,Moderate,6.96,1997,31,2006,2009,2028,625,36.1,22.1,111.06,54.1,46.6,11.52,18.71,FinalHarvest,2028,94.9
255,Zone-2,Block,Medium,Low Rainfall,Loam,Moderate,5.96,2001,21,2010,2014,2022,1600,27.4,20.9,68.26,52.6,54.8,0.23,69.28,FinalHarvestOverdue,2025,100.0
256,Zone-1,Block,Good,High Rainfall,Clay,Steep,22.55,2013,26,2023,2026,2039,1111,22.0,20.0,198.44,20.3,55.8,8.52,75.47,SecondThinning,2026,100.0
257,Zone-1,Boundary,Excellent,High Rainfall,Loam,Steep,24.44,2017,33,2027,2031,2050,625,15.5,8.1,61.37,13.1,57.4,6.58,50.96,FirstThinning,2027,97.3
258,Zone-3,Farmer,Good,Low Rainfall,Clay,Steep,24.0,2005,27,2013,2020,2032,816,20.1,19.6,189.1,38.7,65.6,5.66,18.49,FinalHarvest,2032,96.3
259,Zone-2,Farmer,Poor,High Rainfall,Clay,Gentle,14.33,2007,19,2015,2020,2026,816,26.1,15.4,115.2,36.0,69.9,17.0,43.78,FinalHarvest,2026,100.0
260,Zone-3,Block,Good,Medium Rainfall,Sandy,Steep,3.38,2000,22,2008,2014,2022,1111,41.8,21.2,59.9,52.4,47.8,7.27,46.81,FinalHarvestOverdue,2025,100.0
261,Zone-3,Boundary,Poor,Medium Rainfall,Sandy,Moderate,21.82,2014,19,2022,2028,2033,625,21.6,19.4,182.87,21.9,62.1,17.8,33.58,SecondThinning,2028,99.8
262,Zone-3,Block,Medium,Low Rainfall,Clay,Steep,16.15,2013,23,2020,2025,2036,1600,21.4,16.5,114.05,25.5,61.3,12.15,34.66,FinalHarvest,2036,90.1
263,Zone-4,Boundary,Excellent,Medium Rainfall,Loam,Gentle,21.5,1999,28,2008,2011,2027,625,29.2,24.8,311.39,48.0,68.1,9.52,9.04,FinalHarvest,2027,100.0
264,Zone-4,Estate,Poor,Medium Rainfall,Loam,Flat,16.72,2007,20,2015,2020,2027,1111,22.4,15.0,112.36,36.3,45.1,0.8,31.76,FinalHarvest,2027,97.0
265,Zone-3,Block,Excellent,High Rainfall,Clay,Steep,4.24,2017,33,2025,2033,2050,1111,15.0,11.8,15.01,16.6,55.7,12.83,28.22,SecondThinning,2033,90.9
266,Zone-3,Block,Medium,Low Rainfall,Laterite,Moderate,9.78,2003,21,2012,2015,2024,1600,35.5,29.1,202.06,40.4,48.6,10.75,56.58,FinalHarvestOverdue,2025,99.3
267,Zone-4,Block,Good,Low Rainfall,Laterite,Moderate,15.33,2020,22,2029,2033,2042,1111,9.4,5.7,16.43,10.0,61.4,12.96,67.13,FirstThinning,2029,100.0
268,Zone-2,Boundary,Poor,Medium Rainfall,Loam,Moderate,7.83,2018,22,2027,2033,2040,625,11.5,8.4,15.13,10.4,43.3,9.16,38.96,FirstThinning,2027,95.9
269,Zone-5,Block,Medium,Medium Rainfall,Sandy,Gentle,2.19,2012,20,2020,2024,2032,1111,20.7,19.7,17.86,28.3,47.0,3.1,42.02,FinalHarvest,2032,92.4
270,Zone-3,Block,Good,Medium Rainfall,Clay,Steep,17.73,1996,27,2003,2009,2023,1600,30.3,24.7,265.39,58.4,45.4,17.92,23.76,FinalHarvestOverdue,2025,99.3
271,Zone-4,Estate,Poor,High Rainfall,Loam,Steep,19.51,2009,19,2016,2022,2028,1111,25.4,14.8,146.68,33.7,46.3,7.84,77.09,FinalHarvest,2028,96.7
272,Zone-3,Farmer,Poor,High Rainfall,Sandy,Moderate,12.55,2004,19,2013,2016,2023,625,29.4,21.4,157.92,43.3,49.7,3.43,25.71,FinalHarvestOverdue,2025,100.0
273,Zone-1,Block,Medium,Low Rainfall,Sandy,Steep,17.52,1999,22,2006,2012,2021,1600,35.0,28.2,345.84,50.4,69.1,15.22,9.5,FinalHarvestOverdue,2025,100.0
274,Zone-3,Farmer,Poor,Low Rainfall,Laterite,Gentle,8.6,2012,20,2022,2025,2032,1111,24.9,16.9,72.38,22.3,67.0,9.76,37.81,FinalHarvest,2032,96.4
275,Zone-3,Block,Medium,High Rainfall,Loam,Moderate,8.77,2009,22,2017,2021,2031,1600,22.5,20.6,81.3,32.4,53.6,15.54,42.95,FinalHarvest,2031,93.9
276,Zone-2,Estate,Good,High Rainfall,Loam,Moderate,18.3,2016,30,2026,2029,2046,1111,16.1,8.9,52.44,15.8,52.3,6.51,12.22,FirstThinning,2026,98.5
277,Zone-1,Estate,Medium,Low Rainfall,Sandy,Gentle,3.57,2001,20,2008,2017,2021,1111,38.2,26.3,71.73,50.0,47.7,7.39,50.45,FinalHarvestOverdue,2025,99.5
278,Zone-1,Estate,Medium,High Rainfall,Laterite,Flat,12.23,2015,20,2024,2031,2035,1111,16.6,12.8,51.97,15.6,58.5,10.63,60.07,SecondThinning,2031,95.7
279,Zone-3,Estate,Medium,High Rainfall,Sandy,Flat,18.4,2012,23,2020,2025,2035,1600,23.7,21.6,188.39,26.6,56.7,14.95,62.47,FinalHarvest,2035,90.1
280,Zone-5,Boundary,Excellent,High Rainfall,Laterite,Flat,5.0,2000,33,2010,2016,2033,625,31.8,21.9,69.64,55.0,53.3,7.11,28.64,FinalHarvest,2033,90.5
281,Zone-3,Boundary,Excellent,High Rainfall,Laterite,Moderate,15.6,2013,33,2021,2028,2046,625,25.7,21.4,171.59,21.5,68.8,9.01,34.78,SecondThinning,2028,98.6
