Animal_ID,Species,Risk_Score,Zone,Age_Years,Last_Check,Health_Score
539,Wolf,7,Zone-5,21,27-11-2025,77
540,Tiger,2,Zone-1,4,06-12-2025,73
541,Elephant,9,Zone-2,10,18-11-2025,60
542,Bear,4,Zone-3,7,11-12-2025,100
543,Leopard,1,Zone-4,18,10-12-2025,73
544,Wolf,7,Zone-5,8,10-12-2025,97
545,Tiger,9,Zone-1,23,07-12-2025,86
546,Elephant,3,Zone-2,21,03-12-2025,90
547,Bear,9,Zone-3,5,25-11-2025,79
548,Leopard,4,Zone-4,6,16-11-2025,57
549,Wolf,1,Zone-5,16,20-11-2025,95
550,Tiger,9,Zone-1,17,05-12-2025,55
551,Elephant,3,Zone-2,21,27-11-2025,64
552,Bear,7,Zone-3,12,17-11-2025,68
553,Leopard,9,Zone-4,12,07-12-2025,61
554,Wolf,1,Zone-5,16,07-12-2025,50
555,Tiger,2,Zone-1,20,27-11-2025,51
556,Elephant,9,Zone-2,10,07-12-2025,84
557,Bear,8,Zone-3,9,15-11-2025,93
558,Leopard,2,Zone-4,14,20-11-2025,95
559,Wolf,3,Zone-5,16,22-11-2025,94
560,Tiger,7,Zone-1,25,13-11-2025,63
561,Elephant,7,Zone-2,11,09-12-2025,60
562,Bear,10,Zone-3,24,18-11-2025,70
563,Leopard,6,Zone-4,11,09-12-2025,93
564,Wolf,1,Zone-5,1,30-11-2025,55
565,Tiger,1,Zone-1,17,08-12-2025,89
566,Elephant,5,Zone-2,23,24-11-2025,99
567,Bear,5,Zone-3,23,07-12-2025,58
568,Leopard,7,Zone-4,6,05-12-2025,94
569,Wolf,1,Zone-5,1,05-12-2025,76
570,Tiger,1,Zone-1,15,07-12-2025,58
571,Elephant,4,Zone-2,11,10-12-2025,59
572,Bear,9,Zone-3,8,11-12-2025,95
573,Leopard,4,Zone-4,22,03-12-2025,93
574,Wolf,3,Zone-5,21,03-12-2025,62
575,Tiger,8,Zone-1,11,16-11-2025,63
576,Elephant,10,Zone-2,4,28-11-2025,99
577,Bear,10,Zone-3,5,14-11-2025,85
578,Leopard,1,Zone-4,20,08-12-2025,76
579,Wolf,7,Zone-5,8,08-12-2025,77
580,Tiger,7,Zone-1,20,29-11-2025,85
581,Elephant,8,Zone-2,24,20-11-2025,69
582,Bear,1,Zone-3,8,05-12-2025,50
583,Leopard,5,Zone-4,12,03-12-2025,66
584,Wolf,2,Zone-5,1,29-11-2025,56
585,Tiger,7,Zone-1,13,03-12-2025,87
586,Elephant,8,Zone-2,1,11-12-2025,93
587,Bear,9,Zone-3,10,02-12-2025,100
588,Leopard,6,Zone-4,18,11-12-2025,56
589,Wolf,6,Zone-5,24,21-11-2025,56
590,Tiger,8,Zone-1,14,02-12-2025,59
591,Elephant,10,Zone-2,14,15-11-2025,94
592,Bear,3,Zone-3,17,11-12-2025,87
593,Leopard,3,Zone-4,10,08-12-2025,57
594,Wolf,6,Zone-5,1,01-12-2025,51
595,Tiger,10,Zone-1,14,22-11-2025,86
596,Elephant,7,Zone-2,4,18-11-2025,96
597,Bear,4,Zone-3,4,01-12-2025,60
598,Leopard,6,Zone-4,12,06-12-2025,94
599,Wolf,4,Zone-5,23,06-12-2025,58
600,Tiger,9,Zone-1,2,01-12-2025,82
601,Elephant,9,Zone-2,7,27-11-2025,91
602,Bear,8,Zone-3,21,02-12-2025,65
603,Leopard,6,Zone-4,9,18-11-2025,53
604,Wolf,5,Zone-5,16,29-11-2025,61
605,Tiger,6,Zone-1,24,14-11-2025,93
606,Elephant,4,Zone-2,20,30-11-2025,52
607,Bear,2,Zone-3,3,08-12-2025,71
608,Leopard,3,Zone-4,11,01-12-2025,82
609,Wolf,7,Zone-5,6,27-11-2025,78
610,Tiger,9,Zone-1,18,24-11-2025,61
611,Elephant,7,Zone-2,2,04-12-2025,55
612,Bear,8,Zone-3,9,24-11-2025,87
613,Leopard,1,Zone-4,8,11-12-2025,66
614,Wolf,6,Zone-5,18,13-11-2025,82
615,Tiger,1,Zone-1,23,17-11-2025,87
616,Elephant,8,Zone-2,4,15-11-2025,84
617,Bear,7,Zone-3,3,16-11-2025,69
618,Leopard,3,Zone-4,6,22-11-2025,64
619,Wolf,6,Zone-5,23,01-12-2025,94
620,Tiger,5,Zone-1,22,18-11-2025,73
621,Elephant,10,Zone-2,6,10-12-2025,70
622,Bear,6,Zone-3,19,28-11-2025,78
623,Leopard,6,Zone-4,15,26-11-2025,88
624,Wolf,10,Zone-5,3,08-12-2025,93
625,Tiger,4,Zone-1,15,23-11-2025,85
626,Elephant,4,Zone-2,1,19-11-2025,69
627,Bear,6,Zone-3,15,28-11-2025,59
628,Leopard,8,Zone-4,9,01-12-2025,99
629,Wolf,2,Zone-5,3,29-11-2025,50
630,Tiger,9,Zone-1,19,13-11-2025,72
631,Elephant,9,Zone-2,19,27-11-2025,52
632,Bear,2,Zone-3,12,20-11-2025,60
633,Leopard,3,Zone-4,4,17-11-2025,63
634,Wolf,4,Zone-5,13,19-11-2025,83
635,Tiger,10,Zone-1,25,29-11-2025,53
636,Elephant,1,Zone-2,17,05-12-2025,67
637,Bear,8,Zone-3,14,20-11-2025,97
638,Leopard,2,Zone-4,5,20-11-2025,82
639,Wolf,10,Zone-5,17,23-11-2025,89
640,Tiger,4,Zone-1,1,20-11-2025,81
641,Elephant,5,Zone-2,13,13-11-2025,56
642,Bear,2,Zone-3,24,04-12-2025,96
643,Leopard,10,Zone-4,20,17-11-2025,90
644,Wolf,8,Zone-5,19,13-11-2025,88
645,Tiger,3,Zone-1,15,08-12-2025,90
646,Elephant,6,Zone-2,23,29-11-2025,53
647,Bear,4,Zone-3,7,25-11-2025,93
648,Leopard,8,Zone-4,24,24-11-2025,83
649,Wolf,6,Zone-5,5,25-11-2025,73
650,Tiger,9,Zone-1,20,25-11-2025,75
651,Elephant,9,Zone-2,21,08-12-2025,84
652,Bear,5,Zone-3,25,04-12-2025,86
653,Leopard,8,Zone-4,13,19-11-2025,65
654,Wolf,1,Zone-5,23,12-11-2025,86
655,Tiger,1,Zone-1,21,11-12-2025,80
656,Elephant,4,Zone-2,16,23-11-2025,68
657,Bear,10,Zone-3,19,22-11-2025,100
658,Leopard,5,Zone-4,9,01-12-2025,79
659,Wolf,5,Zone-5,10,03-12-2025,57
660,Tiger,1,Zone-1,15,29-11-2025,87
661,Elephant,3,Zone-2,24,28-11-2025,58
662,Bear,7,Zone-3,21,17-11-2025,71
663,Leopard,5,Zone-4,21,04-12-2025,69
664,Wolf,8,Zone-5,12,23-11-2025,56
665,Tiger,7,Zone-1,1,12-11-2025,96
666,Elephant,5,Zone-2,8,01-12-2025,87
667,Bear,9,Zone-3,7,12-11-2025,89
668,Leopard,9,Zone-4,11,21-11-2025,90
669,Wolf,10,Zone-5,24,10-12-2025,79
670,Tiger,10,Zone-1,23,16-11-2025,86
671,Elephant,7,Zone-2,12,25-11-2025,70
672,Bear,8,Zone-3,17,17-11-2025,64
673,Leopard,8,Zone-4,11,28-11-2025,92
674,Wolf,9,Zone-5,3,29-11-2025,80
675,Tiger,9,Zone-1,10,15-11-2025,63
676,Elephant,5,Zone-2,22,10-12-2025,81
677,Bear,4,Zone-3,2,27-11-2025,91
678,Leopard,2,Zone-4,22,15-11-2025,79
679,Wolf,8,Zone-5,13,08-12-2025,93
680,Tiger,4,Zone-1,11,20-11-2025,51
681,Elephant,1,Zone-2,16,25-11-2025,84
682,Bear,4,Zone-3,13,23-11-2025,60
683,Leopard,3,Zone-4,7,05-12-2025,95
684,Wolf,9,Zone-5,11,02-12-2025,50
685,Tiger,4,Zone-1,7,28-11-2025,87
686,Elephant,10,Zone-2,20,01-12-2025,58
687,Bear,9,Zone-3,11,20-11-2025,99
688,Leopard,1,Zone-4,24,06-12-2025,64
689,Wolf,2,Zone-5,25,07-12-2025,93
690,Tiger,7,Zone-1,11,05-12-2025,60
691,Elephant,8,Zone-2,8,01-12-2025,94
692,Bear,6,Zone-3,4,02-12-2025,89
693,Leopard,8,Zone-4,5,03-12-2025,88
694,Wolf,1,Zone-5,7,07-12-2025,58
695,Tiger,4,Zone-1,9,26-11-2025,81
696,Elephant,2,Zone-2,10,28-11-2025,100
697,Bear,10,Zone-3,11,13-11-2025,52
698,Leopard,10,Zone-4,8,19-11-2025,72
699,Wolf,6,Zone-5,12,30-11-2025,94
700,Tiger,8,Zone-1,2,12-11-2025,59
701,Elephant,1,Zone-2,2,28-11-2025,57
702,Bear,8,Zone-3,9,09-12-2025,62
703,Leopard,7,Zone-4,10,03-12-2025,100
704,Wolf,6,Zone-5,19,03-12-2025,80
705,Tiger,7,Zone-1,4,17-11-2025,60
706,Elephant,2,Zone-2,18,23-11-2025,65
707,Bear,10,Zone-3,3,21-11-2025,59
708,Leopard,8,Zone-4,22,18-11-2025,98
709,Wolf,1,Zone-5,14,01-12-2025,51
710,Tiger,8,Zone-1,24,29-11-2025,56
711,Elephant,3,Zone-2,6,14-11-2025,59
712,Bear,9,Zone-3,21,04-12-2025,91
713,Leopard,1,Zone-4,12,29-11-2025,68
714,Wolf,5,Zone-5,14,24-11-2025,94
715,Tiger,6,Zone-1,8,20-11-2025,50
716,Elephant,5,Zone-2,12,30-11-2025,70
717,Bear,6,Zone-3,19,01-12-2025,53
718,Leopard,3,Zone-4,14,05-12-2025,95
719,Wolf,6,Zone-5,14,11-12-2025,81
720,Tiger,8,Zone-1,16,17-11-2025,84
721,Elephant,10,Zone-2,22,02-12-2025,100
722,Bear,4,Zone-3,8,21-11-2025,58
723,Leopard,8,Zone-4,14,14-11-2025,62
724,Wolf,10,Zone-5,24,22-11-2025,53
725,Tiger,5,Zone-1,22,15-11-2025,76
726,Elephant,1,Zone-2,1,25-11-2025,61
727,Bear,4,Zone-3,13,23-11-2025,74
728,Leopard,3,Zone-4,14,13-11-2025,86
729,Wolf,1,Zone-5,6,20-11-2025,61
730,Tiger,3,Zone-1,2,23-11-2025,78
731,Elephant,6,Zone-2,11,20-11-2025,51
732,Bear,7,Zone-3,4,27-11-2025,99
733,Leopard,10,Zone-4,2,28-11-2025,91
734,Wolf,8,Zone-5,1,12-11-2025,96
735,Tiger,2,Zone-1,11,20-11-2025,56
736,Elephant,3,Zone-2,2,10-12-2025,63
737,Bear,10,Zone-3,7,03-12-2025,69
738,Leopard,10,Zone-4,2,27-11-2025,77
739,Wolf,10,Zone-5,16,13-11-2025,60
740,Tiger,2,Zone-1,13,06-12-2025,96
741,Elephant,2,Zone-2,18,21-11-2025,62
742,Bear,4,Zone-3,25,20-11-2025,64
743,Leopard,10,Zone-4,24,21-11-2025,54
744,Wolf,10,Zone-5,6,23-11-2025,74
745,Tiger,10,Zone-1,5,08-12-2025,50
746,Elephant,6,Zone-2,8,11-12-2025,80
747,Bear,2,Zone-3,6,06-12-2025,76
748,Leopard,1,Zone-4,2,13-11-2025,85
749,Wolf,3,Zone-5,5,25-11-2025,64
750,Tiger,8,Zone-1,15,18-11-2025,67
751,Elephant,3,Zone-2,15,17-11-2025,53
752,Bear,6,Zone-3,10,22-11-2025,85
753,Leopard,6,Zone-4,16,18-11-2025,84
754,Wolf,9,Zone-5,15,16-11-2025,60
755,Tiger,9,Zone-1,5,10-12-2025,75
756,Elephant,4,Zone-2,5,06-12-2025,94
757,Bear,9,Zone-3,23,18-11-2025,97
758,Leopard,1,Zone-4,3,06-12-2025,76
759,Wolf,10,Zone-5,18,10-12-2025,68
760,Tiger,5,Zone-1,14,19-11-2025,76
761,Elephant,6,Zone-2,17,23-11-2025,70
762,Bear,3,Zone-3,24,13-11-2025,67
763,Leopard,8,Zone-4,14,11-12-2025,86
764,Wolf,7,Zone-5,23,15-11-2025,51
765,Tiger,7,Zone-1,9,27-11-2025,59
766,Elephant,5,Zone-2,11,06-12-2025,73
767,Bear,8,Zone-3,7,27-11-2025,85
768,Leopard,8,Zone-4,23,03-12-2025,80
769,Wolf,8,Zone-5,18,13-11-2025,84
770,Tiger,5,Zone-1,1,27-11-2025,50
771,Elephant,10,Zone-2,9,28-11-2025,70
772,Bear,8,Zone-3,15,27-11-2025,99
773,Leopard,1,Zone-4,14,09-12-2025,59
774,Wolf,10,Zone-5,17,25-11-2025,88
775,Tiger,8,Zone-1,5,24-11-2025,69
776,Elephant,3,Zone-2,13,25-11-2025,53
777,Bear,10,Zone-3,5,25-11-2025,100
778,Leopard,3,Zone-4,13,20-11-2025,96
779,Wolf,2,Zone-5,23,21-11-2025,98
780,Tiger,7,Zone-1,9,08-12-2025,78
781,Elephant,1,Zone-2,1,01-12-2025,62
782,Bear,8,Zone-3,3,21-11-2025,83
783,Leopard,7,Zone-4,2,01-12-2025,74
784,Wolf,7,Zone-5,18,25-11-2025,50
785,Tiger,4,Zone-1,3,19-11-2025,91
786,Elephant,7,Zone-2,13,02-12-2025,80
787,Bear,10,Zone-3,12,21-11-2025,54
788,Leopard,3,Zone-4,15,23-11-2025,83
789,Wolf,4,Zone-5,4,13-11-2025,61
790,Tiger,5,Zone-1,5,24-11-2025,93
791,Elephant,6,Zone-2,8,30-11-2025,93
792,Bear,5,Zone-3,3,15-11-2025,75
793,Leopard,1,Zone-4,3,23-11-2025,88
794,Wolf,2,Zone-5,20,24-11-2025,93
795,Tiger,5,Zone-1,18,11-12-2025,83
796,Elephant,8,Zone-2,1,12-11-2025,94
797,Bear,2,Zone-3,16,11-12-2025,94
798,Leopard,9,Zone-4,25,18-11-2025,93
799,Wolf,7,Zone-5,16,14-11-2025,56
800,Tiger,6,Zone-1,6,10-12-2025,80
801,Elephant,8,Zone-2,21,08-12-2025,96
802,Bear,1,Zone-3,16,15-11-2025,68
803,Leopard,1,Zone-4,10,04-12-2025,64
804,Wolf,7,Zone-5,18,23-11-2025,73
805,Tiger,8,Zone-1,20,29-11-2025,78
806,Elephant,3,Zone-2,21,12-11-2025,68
807,Bear,7,Zone-3,3,20-11-2025,53
808,Leopard,6,Zone-4,3,09-12-2025,52
809,Wolf,10,Zone-5,1,10-12-2025,93
810,Tiger,8,Zone-1,2,15-11-2025,56
811,Elephant,8,Zone-2,18,18-11-2025,73
812,Bear,1,Zone-3,24,06-12-2025,50
813,Leopard,6,Zone-4,2,07-12-2025,72
814,Wolf,5,Zone-5,19,26-11-2025,60
815,Tiger,4,Zone-1,23,20-11-2025,89
816,Elephant,3,Zone-2,2,09-12-2025,50
817,Bear,3,Zone-3,20,13-11-2025,80
818,Leopard,6,Zone-4,20,16-11-2025,88
819,Wolf,8,Zone-5,9,21-11-2025,79
820,Tiger,6,Zone-1,21,04-12-2025,88
821,Elephant,7,Zone-2,11,22-11-2025,97
822,Bear,8,Zone-3,24,02-12-2025,66
823,Leopard,3,Zone-4,12,07-12-2025,74
824,Wolf,10,Zone-5,25,18-11-2025,66
825,Tiger,3,Zone-1,2,02-12-2025,55
826,Elephant,7,Zone-2,10,08-12-2025,72
827,Bear,4,Zone-3,15,02-12-2025,52
828,Leopard,6,Zone-4,3,13-11-2025,62
829,Wolf,4,Zone-5,15,12-11-2025,99
830,Tiger,10,Zone-1,25,04-12-2025,78
831,Elephant,7,Zone-2,25,29-11-2025,97
832,Bear,10,Zone-3,25,16-11-2025,93
833,Leopard,10,Zone-4,15,29-11-2025,84
834,Wolf,2,Zone-5,24,20-11-2025,74
835,Tiger,1,Zone-1,17,01-12-2025,71
836,Elephant,8,Zone-2,25,09-12-2025,100
837,Bear,8,Zone-3,10,22-11-2025,92
838,Leopard,1,Zone-4,12,25-11-2025,69
839,Wolf,10,Zone-5,24,29-11-2025,83
840,Tiger,9,Zone-1,3,03-12-2025,67
841,Elephant,10,Zone-2,20,10-12-2025,82
842,Bear,1,Zone-3,7,15-11-2025,71
843,Leopard,9,Zone-4,13,06-12-2025,68
844,Wolf,1,Zone-5,22,30-11-2025,78
845,Tiger,5,Zone-1,9,01-12-2025,51
846,Elephant,10,Zone-2,20,23-11-2025,85
847,Bear,7,Zone-3,7,06-12-2025,66
848,Leopard,6,Zone-4,25,04-12-2025,70
849,Wolf,3,Zone-5,15,18-11-2025,87
850,Tiger,2,Zone-1,4,13-11-2025,57
851,Elephant,2,Zone-2,23,10-12-2025,94
852,Bear,9,Zone-3,12,16-11-2025,94
853,Leopard,2,Zone-4,18,03-12-2025,76
854,Wolf,7,Zone-5,17,22-11-2025,85
855,Tiger,6,Zone-1,20,04-12-2025,60
856,Elephant,2,Zone-2,8,30-11-2025,86
857,Bear,7,Zone-3,4,25-11-2025,92
858,Leopard,4,Zone-4,2,15-11-2025,92
859,Wolf,8,Zone-5,24,19-11-2025,62
860,Tiger,5,Zone-1,23,12-11-2025,84
861,Elephant,1,Zone-2,25,10-12-2025,59
862,Bear,3,Zone-3,22,14-11-2025,76
863,Leopard,5,Zone-4,5,30-11-2025,89
864,Wolf,8,Zone-5,22,12-11-2025,58
865,Tiger,1,Zone-1,11,14-11-2025,71
866,Elephant,5,Zone-2,18,15-11-2025,60
867,Bear,10,Zone-3,17,14-11-2025,80
868,Leopard,9,Zone-4,4,19-11-2025,89
869,Wolf,3,Zone-5,3,14-11-2025,98
870,Tiger,5,Zone-1,16,20-11-2025,66
871,Elephant,10,Zone-2,24,24-11-2025,67
872,Bear,8,Zone-3,10,29-11-2025,50
873,Leopard,5,Zone-4,6,23-11-2025,65
874,Wolf,8,Zone-5,4,26-11-2025,96
875,Tiger,9,Zone-1,9,20-11-2025,80
876,Elephant,3,Zone-2,3,03-12-2025,77
877,Bear,2,Zone-3,15,06-12-2025,81
878,Leopard,6,Zone-4,18,10-12-2025,67
879,Wolf,6,Zone-5,5,22-11-2025,61
880,Tiger,7,Zone-1,15,14-11-2025,77
881,Elephant,10,Zone-2,17,25-11-2025,91
882,Bear,10,Zone-3,15,23-11-2025,84
883,Leopard,9,Zone-4,15,26-11-2025,71
884,Wolf,5,Zone-5,9,01-12-2025,82
885,Tiger,5,Zone-1,15,17-11-2025,68
886,Elephant,2,Zone-2,8,03-12-2025,50
887,Bear,2,Zone-3,20,12-11-2025,58
888,Leopard,10,Zone-4,23,05-12-2025,76
889,Wolf,1,Zone-5,23,01-12-2025,88
890,Tiger,7,Zone-1,6,19-11-2025,79
891,Elephant,6,Zone-2,22,09-12-2025,94
892,Bear,10,Zone-3,7,03-12-2025,74
893,Leopard,4,Zone-4,17,22-11-2025,51
894,Wolf,2,Zone-5,5,15-11-2025,67
895,Tiger,9,Zone-1,10,16-11-2025,68
896,Elephant,8,Zone-2,20,04-12-2025,77
897,Bear,6,Zone-3,14,08-12-2025,54
898,Leopard,6,Zone-4,14,24-11-2025,75
899,Wolf,3,Zone-5,23,07-12-2025,94
900,Tiger,4,Zone-1,2,16-11-2025,79
901,Elephant,1,Zone-2,22,28-11-2025,71
902,Bear,10,Zone-3,9,25-11-2025,51
903,Leopard,6,Zone-4,8,08-12-2025,74
904,Wolf,1,Zone-5,5,19-11-2025,58
905,Tiger,8,Zone-1,21,12-11-2025,69
906,Elephant,4,Zone-2,8,10-12-2025,63
907,Bear,8,Zone-3,22,06-12-2025,91
908,Leopard,8,Zone-4,3,24-11-2025,76
909,Wolf,3,Zone-5,10,02-12-2025,79
910,Tiger,6,Zone-1,14,05-12-2025,54
911,Elephant,2,Zone-2,5,21-11-2025,54
912,Bear,4,Zone-3,18,19-11-2025,50
913,Leopard,8,Zone-4,18,14-11-2025,61
914,Wolf,9,Zone-5,16,24-11-2025,98
915,Tiger,1,Zone-1,13,28-11-2025,54
916,Elephant,6,Zone-2,23,13-11-2025,69
917,Bear,6,Zone-3,20,14-11-2025,82
918,Leopard,6,Zone-4,17,29-11-2025,74
919,Wolf,4,Zone-5,12,28-11-2025,70
920,Tiger,5,Zone-1,3,25-11-2025,51
921,Elephant,3,Zone-2,21,14-11-2025,85
922,Bear,9,Zone-3,6,01-12-2025,58
923,Leopard,2,Zone-4,6,12-11-2025,92
924,Wolf,9,Zone-5,23,24-11-2025,74
925,Tiger,7,Zone-1,19,10-12-2025,70
926,Elephant,10,Zone-2,9,29-11-2025,87
927,Bear,10,Zone-3,17,17-11-2025,69
928,Leopard,3,Zone-4,18,25-11-2025,60
929,Wolf,9,Zone-5,10,27-11-2025,52
930,Tiger,6,Zone-1,5,10-12-2025,65
931,Elephant,2,Zone-2,22,04-12-2025,93
932,Bear,3,Zone-3,20,24-11-2025,85
933,Leopard,8,Zone-4,3,16-11-2025,96
934,Wolf,3,Zone-5,7,18-11-2025,60
935,Tiger,1,Zone-1,7,14-11-2025,77
936,Elephant,7,Zone-2,17,28-11-2025,68
937,Bear,3,Zone-3,15,12-11-2025,97
938,Leopard,8,Zone-4,18,29-11-2025,58
939,Wolf,7,Zone-5,18,19-11-2025,92
940,Tiger,6,Zone-1,6,26-11-2025,59
941,Elephant,9,Zone-2,15,18-11-2025,74
942,Bear,1,Zone-3,24,04-12-2025,59
943,Leopard,1,Zone-4,17,12-11-2025,80
944,Wolf,8,Zone-5,18,04-12-2025,67
945,Tiger,8,Zone-1,3,18-11-2025,50
946,Elephant,7,Zone-2,6,20-11-2025,84
947,Bear,4,Zone-3,8,03-12-2025,90
948,Leopard,6,Zone-4,25,17-11-2025,90
949,Wolf,6,Zone-5,16,04-12-2025,71
950,Tiger,7,Zone-1,6,05-12-2025,91
951,Elephant,3,Zone-2,15,26-11-2025,91
952,Bear,1,Zone-3,2,03-12-2025,71
953,Leopard,4,Zone-4,11,25-11-2025,72
954,Wolf,10,Zone-5,16,05-12-2025,53
955,Tiger,3,Zone-1,25,27-11-2025,64
956,Elephant,3,Zone-2,6,24-11-2025,72
957,Bear,8,Zone-3,1,02-12-2025,95
958,Leopard,3,Zone-4,9,10-12-2025,98
959,Wolf,3,Zone-5,11,01-12-2025,71
960,Tiger,5,Zone-1,14,25-11-2025,88
961,Elephant,4,Zone-2,19,16-11-2025,78
962,Bear,8,Zone-3,21,10-12-2025,68
963,Leopard,2,Zone-4,4,28-11-2025,80
964,Wolf,9,Zone-5,18,14-11-2025,54
965,Tiger,6,Zone-1,19,28-11-2025,90
966,Elephant,5,Zone-2,13,14-11-2025,91
967,Bear,8,Zone-3,8,25-11-2025,75
968,Leopard,6,Zone-4,13,22-11-2025,50
969,Wolf,5,Zone-5,9,25-11-2025,92
970,Tiger,5,Zone-1,24,20-11-2025,77
971,Elephant,8,Zone-2,24,04-12-2025,63
972,Bear,3,Zone-3,23,06-12-2025,89
973,Leopard,2,Zone-4,23,06-12-2025,68
974,Wolf,9,Zone-5,20,01-12-2025,72
975,Tiger,9,Zone-1,15,12-11-2025,94
976,Elephant,8,Zone-2,1,11-12-2025,92
977,Bear,7,Zone-3,6,04-12-2025,93
978,Leopard,10,Zone-4,9,01-12-2025,87
979,Wolf,10,Zone-5,22,15-11-2025,67
980,Tiger,3,Zone-1,14,03-12-2025,52
981,Elephant,8,Zone-2,14,11-12-2025,90
982,Bear,9,Zone-3,20,01-12-2025,63
983,Leopard,1,Zone-4,3,07-12-2025,95
984,Wolf,1,Zone-5,8,14-11-2025,65
985,Tiger,10,Zone-1,17,11-12-2025,94
986,Elephant,2,Zone-2,8,18-11-2025,82
987,Bear,8,Zone-3,3,14-11-2025,98
988,Leopard,7,Zone-4,5,24-11-2025,64
989,Wolf,4,Zone-5,12,28-11-2025,85
990,Tiger,10,Zone-1,2,01-12-2025,85
991,Elephant,2,Zone-2,2,24-11-2025,93
992,Bear,1,Zone-3,4,30-11-2025,63
993,Leopard,4,Zone-4,15,03-12-2025,62
994,Wolf,6,Zone-5,13,27-11-2025,51
995,Tiger,3,Zone-1,21,21-11-2025,78
996,Elephant,8,Zone-2,6,25-11-2025,99
997,Bear,8,Zone-3,3,01-12-2025,74
998,Leopard,6,Zone-4,20,28-11-2025,92
999,Wolf,10,Zone-5,12,27-11-2025,94
