documentId,referenceCode,department,category,subject,shortTitle,longTitle,year,issueDate,effectiveToOrBlank,status,jurisdiction,pageCount,tagsSemicolonSeparated
251,P-OM-2015-740,Planning,OM,Land Allotment,Land Allotment – OM,Planning Department OM on Land Allotment,2015,2024-08-17,,Active,Circle-North,119,digital;fire
252,R-GUI-2010-058,Revenue,Guideline,CAMPA Utilisation,CAMPA Utilisation – Guideline,Revenue Department Guideline on CAMPA Utilisation,2010,2023-06-03,,Active,Circle-South,3,budget;campa
253,R-NOT-2014-709,Revenue,Notification,Climate Mission,Climate Mission – Notification,Revenue Department Notification on Climate Mission,2014,2024-10-17,,Active,Circle-East,81,climate;digital;patrol
254,P-CIR-2023-734,Planning,Circular,Budget Release,Budget Release – Circular,Planning Department Circular on Budget Release,2023,2020-05-30,2024-10-11,Superseded,Circle-South,53,budget;eco;offence
255,F-OM-2016-606,Forest,OM,Wildlife Protection,Wildlife Protection – OM,Forest Department OM on Wildlife Protection,2016,2022-06-09,,Active,Circle-North,84,community;marketing;offence
256,P-ORD-2013-131,Planning,Order,Climate Mission,Climate Mission – Order,Planning Department Order on Climate Mission,2013,2017-02-05,2021-07-19,Superseded,Circle-West,45,campa;offence
257,P-CIR-2021-845,Planning,Circular,Digital Monitoring,Digital Monitoring – Circular,Planning Department Circular on Digital Monitoring,2021,2024-08-22,,Active,Circle-South,19,budget;marketing;teak
258,R-ORD-2019-022,Revenue,Order,Eco Tourism,Eco Tourism – Order,Revenue Department Order on Eco Tourism,2019,2020-08-02,2025-03-15,Superseded,Circle-South,95,climate;offence;plantation;rules
259,R-OM-2012-579,Revenue,OM,Fire Management,Fire Management – OM,Revenue Department OM on Fire Management,2012,2010-04-07,,Active,Circle-South,46,campa;community;land
260,W-NOT-2023-998,Wildlife,Notification,Community Forestry,Community Forestry – Notification,Wildlife Department Notification on Community Forestry,2023,2025-09-29,,Active,Circle-South,37,digital;patrol
261,R-CIR-2020-318,Revenue,Circular,Land Allotment,Land Allotment – Circular,Revenue Department Circular on Land Allotment,2020,2021-06-10,,Active,Circle-East,119,land;marketing
262,F-NOT-2011-466,Forest,Notification,Budget Release,Budget Release – Notification,Forest Department Notification on Budget Release,2011,2025-02-26,,Active,Statewide,111,marketing;teak
263,P-OM-2012-174,Planning,OM,Community Forestry,Community Forestry – OM,Planning Department OM on Community Forestry,2012,2012-11-25,,Active,Circle-East,107,digital;land;rules
264,F-ORD-2016-677,Finance,Order,Land Allotment,Land Allotment – Order,Finance Department Order on Land Allotment,2016,2018-05-07,,Active,Circle-North,5,budget;digital;land;patrol
265,P-CIR-2020-595,Planning,Circular,Eco Tourism,Eco Tourism – Circular,Planning Department Circular on Eco Tourism,2020,2011-09-27,2013-05-29,Superseded,Circle-South,85,campa;land;rules
266,F-NOT-2013-705,Forest,Notification,Digital Monitoring,Digital Monitoring – Notification,Forest Department Notification on Digital Monitoring,2013,2018-04-19,,Active,Circle-South,19,budget;campa;community
267,P-GUI-2014-827,Planning,Guideline,Eco Tourism,Eco Tourism – Guideline,Planning Department Guideline on Eco Tourism,2014,2015-10-08,,Active,Circle-West,62,eco;land;patrol;wildlife
268,F-ORD-2020-472,Forest,Order,Eco Tourism,Eco Tourism – Order,Forest Department Order on Eco Tourism,2020,2017-05-15,,Active,Circle-North,114,community;land;patrol;rules
269,W-NOT-2021-426,Wildlife,Notification,Climate Mission,Climate Mission – Notification,Wildlife Department Notification on Climate Mission,2021,2013-07-31,,Active,Circle-West,21,fire;plantation;teak
270,F-ORD-2019-511,Finance,Order,Budget Release,Budget Release – Order,Finance Department Order on Budget Release,2019,2018-12-21,2022-08-17,Superseded,Circle-South,93,budget;climate;land
271,R-ORD-2011-267,Revenue,Order,Fire Management,Fire Management – Order,Revenue Department Order on Fire Management,2011,2010-10-27,2014-11-28,Superseded,Circle-East,37,eco;offence;wildlife
272,P-ORD-2022-976,Planning,Order,Teak Plantation,Teak Plantation – Order,Planning Department Order on Teak Plantation,2022,2020-03-14,,Active,Circle-West,107,campa;land;rules;teak
273,R-GUI-2024-304,Revenue,Guideline,Fire Management,Fire Management – Guideline,Revenue Department Guideline on Fire Management,2024,2021-01-02,2024-06-09,Superseded,Circle-North,9,budget;land;marketing;patrol
274,F-ORD-2022-075,Finance,Order,Community Forestry,Community Forestry – Order,Finance Department Order on Community Forestry,2022,2024-10-21,,Active,Statewide,24,climate;marketing
275,R-NOT-2015-868,Revenue,Notification,Fire Management,Fire Management – Notification,Revenue Department Notification on Fire Management,2015,2015-06-29,,Active,Circle-South,10,community;land;patrol
276,F-GUI-2022-053,Forest,Guideline,Climate Mission,Climate Mission – Guideline,Forest Department Guideline on Climate Mission,2022,2014-04-25,2015-03-01,Superseded,Statewide,12,campa;climate;land;marketing
277,F-GUI-2024-617,Finance,Guideline,Digital Monitoring,Digital Monitoring – Guideline,Finance Department Guideline on Digital Monitoring,2024,2023-08-18,2024-09-04,Superseded,Circle-East,18,budget;plantation
278,P-NOT-2011-793,Planning,Notification,Budget Release,Budget Release – Notification,Planning Department Notification on Budget Release,2011,2013-05-07,,Active,Circle-North,25,digital;offence
279,P-CIR-2016-756,Planning,Circular,Fire Management,Fire Management – Circular,Planning Department Circular on Fire Management,2016,2023-09-24,,Active,Circle-North,59,land;marketing
280,P-CIR-2016-728,Planning,Circular,CAMPA Utilisation,CAMPA Utilisation – Circular,Planning Department Circular on CAMPA Utilisation,2016,2011-03-16,,Active,Circle-South,52,campa;patrol
281,P-OM-2013-545,Planning,OM,Climate Mission,Climate Mission – OM,Planning Department OM on Climate Mission,2013,2010-02-08,,Active,Circle-West,103,campa;plantation;rules
282,P-OM-2012-535,Planning,OM,Climate Mission,Climate Mission – OM,Planning Department OM on Climate Mission,2012,2017-08-29,,Active,Circle-North,93,eco;teak;wildlife
283,P-ORD-2019-944,Planning,Order,Fire Management,Fire Management – Order,Planning Department Order on Fire Management,2019,2016-10-22,,Active,Circle-North,10,marketing;wildlife
284,F-CIR-2011-017,Finance,Circular,CAMPA Utilisation,CAMPA Utilisation – Circular,Finance Department Circular on CAMPA Utilisation,2011,2018-09-27,,Active,Circle-West,13,community;marketing;offence;plantation
285,R-CIR-2023-194,Revenue,Circular,Wildlife Protection,Wildlife Protection – Circular,Revenue Department Circular on Wildlife Protection,2023,2019-02-15,2021-02-14,Superseded,Statewide,84,campa;community;eco;fire
286,W-OM-2017-364,Wildlife,OM,Eco Tourism,Eco Tourism – OM,Wildlife Department OM on Eco Tourism,2017,2022-01-07,2024-05-30,Superseded,Circle-South,8,rules;teak
287,W-NOT-2016-885,Wildlife,Notification,Community Forestry,Community Forestry – Notification,Wildlife Department Notification on Community Forestry,2016,2013-04-23,,Active,Statewide,106,digital;patrol;plantation
288,R-ORD-2024-792,Revenue,Order,CAMPA Utilisation,CAMPA Utilisation – Order,Revenue Department Order on CAMPA Utilisation,2024,2011-02-19,,Active,Circle-West,85,community;digital;fire;offence
289,R-OM-2018-294,Revenue,OM,Budget Release,Budget Release – OM,Revenue Department OM on Budget Release,2018,2011-05-13,2011-12-06,Superseded,Circle-North,58,community;fire;offence;wildlife
290,R-GUI-2011-282,Revenue,Guideline,CAMPA Utilisation,CAMPA Utilisation – Guideline,Revenue Department Guideline on CAMPA Utilisation,2011,2010-08-11,,Active,Statewide,63,campa;teak
291,F-NOT-2019-966,Finance,Notification,Teak Plantation,Teak Plantation – Notification,Finance Department Notification on Teak Plantation,2019,2019-12-21,,Active,Circle-East,91,campa;community;land;marketing
292,F-GUI-2019-832,Forest,Guideline,Eco Tourism,Eco Tourism – Guideline,Forest Department Guideline on Eco Tourism,2019,2015-04-27,,Active,Circle-East,53,campa;offence;teak
293,W-NOT-2011-670,Wildlife,Notification,Digital Monitoring,Digital Monitoring – Notification,Wildlife Department Notification on Digital Monitoring,2011,2011-12-18,,Active,Statewide,107,budget;climate;land
294,P-ORD-2018-680,Planning,Order,Eco Tourism,Eco Tourism – Order,Planning Department Order on Eco Tourism,2018,2014-02-25,,Active,Circle-West,111,land;marketing;plantation;wildlife
295,W-ORD-2020-093,Wildlife,Order,Land Allotment,Land Allotment – Order,Wildlife Department Order on Land Allotment,2020,2014-09-14,,Active,Statewide,63,community;patrol;plantation
296,R-CIR-2011-163,Revenue,Circular,Community Forestry,Community Forestry – Circular,Revenue Department Circular on Community Forestry,2011,2022-01-29,,Active,Circle-East,61,land;offence;rules;teak
297,W-ORD-2013-762,Wildlife,Order,CAMPA Utilisation,CAMPA Utilisation – Order,Wildlife Department Order on CAMPA Utilisation,2013,2015-06-15,2019-06-06,Superseded,Circle-East,49,campa;climate;community
298,F-CIR-2018-609,Finance,Circular,Eco Tourism,Eco Tourism – Circular,Finance Department Circular on Eco Tourism,2018,2015-07-22,,Active,Circle-East,61,land;teak
299,W-CIR-2015-987,Wildlife,Circular,Fire Management,Fire Management – Circular,Wildlife Department Circular on Fire Management,2015,2015-03-29,,Active,Statewide,105,budget;eco;marketing;patrol
300,F-CIR-2025-781,Forest,Circular,Community Forestry,Community Forestry – Circular,Forest Department Circular on Community Forestry,2025,2019-11-29,,Active,Circle-North,91,campa;plantation;rules;teak
301,P-GUI-2013-843,Planning,Guideline,Digital Monitoring,Digital Monitoring – Guideline,Planning Department Guideline on Digital Monitoring,2013,2020-12-19,,Active,Circle-North,41,community;land
302,P-CIR-2020-783,Planning,Circular,Community Forestry,Community Forestry – Circular,Planning Department Circular on Community Forestry,2020,2020-05-18,,Active,Circle-North,107,digital;land;plantation
303,F-GUI-2017-277,Forest,Guideline,Budget Release,Budget Release – Guideline,Forest Department Guideline on Budget Release,2017,2022-07-24,,Active,Circle-North,5,fire;land
304,R-OM-2011-521,Revenue,OM,Teak Plantation,Teak Plantation – OM,Revenue Department OM on Teak Plantation,2011,2022-07-15,,Active,Circle-North,106,land;plantation;rules;teak
305,F-NOT-2021-897,Forest,Notification,Wildlife Protection,Wildlife Protection – Notification,Forest Department Notification on Wildlife Protection,2021,2020-11-29,,Active,Statewide,63,eco;rules
306,F-GUI-2020-345,Finance,Guideline,Eco Tourism,Eco Tourism – Guideline,Finance Department Guideline on Eco Tourism,2020,2025-12-02,2029-05-18,Superseded,Circle-South,35,eco;fire
307,W-CIR-2020-305,Wildlife,Circular,Climate Mission,Climate Mission – Circular,Wildlife Department Circular on Climate Mission,2020,2022-11-03,,Active,Circle-West,112,climate;plantation
308,F-CIR-2025-071,Forest,Circular,Wildlife Protection,Wildlife Protection – Circular,Forest Department Circular on Wildlife Protection,2025,2020-04-09,,Active,Circle-West,47,campa;climate;patrol
309,W-GUI-2017-961,Wildlife,Guideline,Teak Plantation,Teak Plantation – Guideline,Wildlife Department Guideline on Teak Plantation,2017,2024-02-11,2025-06-08,Superseded,Circle-North,55,eco;land;marketing;teak
310,F-ORD-2023-636,Finance,Order,Teak Plantation,Teak Plantation – Order,Finance Department Order on Teak Plantation,2023,2018-09-22,,Active,Circle-North,6,climate;fire;marketing;offence
311,P-OM-2021-867,Planning,OM,Digital Monitoring,Digital Monitoring – OM,Planning Department OM on Digital Monitoring,2021,2013-02-04,,Active,Statewide,47,budget;eco;fire
312,R-CIR-2023-439,Revenue,Circular,Digital Monitoring,Digital Monitoring – Circular,Revenue Department Circular on Digital Monitoring,2023,2018-11-29,2019-09-09,Superseded,Circle-South,25,campa;community;offence
313,F-CIR-2018-123,Finance,Circular,Teak Plantation,Teak Plantation – Circular,Finance Department Circular on Teak Plantation,2018,2014-03-21,,Active,Circle-North,40,budget;campa;patrol;plantation
314,R-OM-2012-363,Revenue,OM,CAMPA Utilisation,CAMPA Utilisation – OM,Revenue Department OM on CAMPA Utilisation,2012,2023-11-13,,Active,Circle-West,25,community;teak
315,R-CIR-2017-432,Revenue,Circular,Digital Monitoring,Digital Monitoring – Circular,Revenue Department Circular on Digital Monitoring,2017,2018-10-03,,Active,Circle-West,1,community;patrol;teak
316,R-CIR-2022-363,Revenue,Circular,Climate Mission,Climate Mission – Circular,Revenue Department Circular on Climate Mission,2022,2016-10-20,,Active,Circle-North,73,digital;offence;wildlife
317,F-CIR-2012-016,Forest,Circular,Teak Plantation,Teak Plantation – Circular,Forest Department Circular on Teak Plantation,2012,2022-09-15,,Active,Statewide,86,fire;wildlife
318,F-ORD-2013-404,Forest,Order,CAMPA Utilisation,CAMPA Utilisation – Order,Forest Department Order on CAMPA Utilisation,2013,2024-01-11,,Active,Circle-North,2,climate;offence
319,R-OM-2012-571,Revenue,OM,Climate Mission,Climate Mission – OM,Revenue Department OM on Climate Mission,2012,2019-09-07,,Active,Circle-South,89,eco;fire;offence;teak
320,F-OM-2013-703,Finance,OM,Fire Management,Fire Management – OM,Finance Department OM on Fire Management,2013,2016-02-27,,Active,Circle-North,31,campa;fire;offence
321,F-ORD-2022-912,Finance,Order,Fire Management,Fire Management – Order,Finance Department Order on Fire Management,2022,2019-08-25,,Active,Statewide,75,patrol;plantation
322,P-NOT-2025-282,Planning,Notification,Wildlife Protection,Wildlife Protection – Notification,Planning Department Notification on Wildlife Protection,2025,2025-08-11,2027-11-04,Superseded,Circle-West,82,community;marketing;rules
323,R-GUI-2019-734,Revenue,Guideline,Community Forestry,Community Forestry – Guideline,Revenue Department Guideline on Community Forestry,2019,2013-08-08,,Active,Circle-East,105,marketing;wildlife
324,F-OM-2011-125,Forest,OM,Community Forestry,Community Forestry – OM,Forest Department OM on Community Forestry,2011,2020-12-26,,Active,Circle-South,114,rules;teak;wildlife
325,P-GUI-2024-190,Planning,Guideline,Fire Management,Fire Management – Guideline,Planning Department Guideline on Fire Management,2024,2019-11-10,,Active,Circle-South,89,climate;land;wildlife
326,F-OM-2013-741,Finance,OM,Climate Mission,Climate Mission – OM,Finance Department OM on Climate Mission,2013,2011-03-31,,Active,Circle-South,66,land;offence
327,P-GUI-2023-543,Planning,Guideline,Fire Management,Fire Management – Guideline,Planning Department Guideline on Fire Management,2023,2011-03-02,,Active,Circle-West,94,budget;climate;fire
328,P-NOT-2023-495,Planning,Notification,CAMPA Utilisation,CAMPA Utilisation – Notification,Planning Department Notification on CAMPA Utilisation,2023,2015-05-10,,Active,Statewide,119,budget;campa;eco;fire
329,R-CIR-2012-138,Revenue,Circular,Eco Tourism,Eco Tourism – Circular,Revenue Department Circular on Eco Tourism,2012,2015-10-16,2017-12-11,Superseded,Circle-East,42,campa;land
330,F-ORD-2018-408,Finance,Order,Climate Mission,Climate Mission – Order,Finance Department Order on Climate Mission,2018,2022-08-13,,Active,Circle-North,75,eco;teak
331,W-GUI-2022-928,Wildlife,Guideline,Digital Monitoring,Digital Monitoring – Guideline,Wildlife Department Guideline on Digital Monitoring,2022,2011-08-21,,Active,Statewide,21,digital;marketing
332,W-CIR-2019-156,Wildlife,Circular,Teak Plantation,Teak Plantation – Circular,Wildlife Department Circular on Teak Plantation,2019,2025-09-19,2029-10-31,Superseded,Circle-South,58,offence;patrol
333,R-OM-2018-290,Revenue,OM,Budget Release,Budget Release – OM,Revenue Department OM on Budget Release,2018,2023-10-07,,Active,Circle-North,62,fire;teak;wildlife
334,R-NOT-2013-175,Revenue,Notification,Land Allotment,Land Allotment – Notification,Revenue Department Notification on Land Allotment,2013,2020-09-30,,Active,Circle-West,75,digital;offence;patrol
335,P-ORD-2015-133,Planning,Order,CAMPA Utilisation,CAMPA Utilisation – Order,Planning Department Order on CAMPA Utilisation,2015,2020-07-09,2023-04-01,Superseded,Circle-West,49,fire;plantation
336,W-NOT-2022-925,Wildlife,Notification,Eco Tourism,Eco Tourism – Notification,Wildlife Department Notification on Eco Tourism,2022,2021-04-21,,Active,Circle-West,71,budget;patrol;plantation;wildlife
337,P-NOT-2011-385,Planning,Notification,CAMPA Utilisation,CAMPA Utilisation – Notification,Planning Department Notification on CAMPA Utilisation,2011,2022-05-03,,Active,Circle-North,67,climate;community;offence;plantation
338,F-CIR-2018-043,Finance,Circular,Wildlife Protection,Wildlife Protection – Circular,Finance Department Circular on Wildlife Protection,2018,2016-07-23,,Active,Circle-South,93,community;digital;land
339,F-ORD-2023-099,Forest,Order,Fire Management,Fire Management – Order,Forest Department Order on Fire Management,2023,2020-10-27,,Active,Circle-West,76,community;eco;plantation
340,F-OM-2021-532,Forest,OM,Budget Release,Budget Release – OM,Forest Department OM on Budget Release,2021,2020-03-16,,Active,Circle-South,74,offence;plantation;teak
341,P-GUI-2014-561,Planning,Guideline,Fire Management,Fire Management – Guideline,Planning Department Guideline on Fire Management,2014,2020-04-17,2023-07-26,Superseded,Statewide,64,climate;community;plantation
342,P-OM-2023-131,Planning,OM,Fire Management,Fire Management – OM,Planning Department OM on Fire Management,2023,2024-07-24,2027-09-23,Superseded,Statewide,82,fire;teak
343,P-ORD-2012-790,Planning,Order,Budget Release,Budget Release – Order,Planning Department Order on Budget Release,2012,2013-09-08,2015-04-14,Superseded,Statewide,104,community;patrol;plantation;teak
344,P-OM-2016-257,Planning,OM,CAMPA Utilisation,CAMPA Utilisation – OM,Planning Department OM on CAMPA Utilisation,2016,2019-07-13,2020-02-11,Superseded,Circle-South,46,land;patrol;plantation;teak
345,F-GUI-2025-315,Forest,Guideline,Land Allotment,Land Allotment – Guideline,Forest Department Guideline on Land Allotment,2025,2021-11-02,,Active,Statewide,69,climate;patrol
346,W-OM-2018-728,Wildlife,OM,Community Forestry,Community Forestry – OM,Wildlife Department OM on Community Forestry,2018,2016-04-06,,Active,Statewide,91,digital;teak
347,P-ORD-2010-595,Planning,Order,Wildlife Protection,Wildlife Protection – Order,Planning Department Order on Wildlife Protection,2010,2019-08-29,2022-07-11,Superseded,Circle-South,55,climate;marketing;offence;plantation
348,R-OM-2024-008,Revenue,OM,Community Forestry,Community Forestry – OM,Revenue Department OM on Community Forestry,2024,2011-10-30,,Active,Circle-North,42,eco;plantation;teak
349,F-GUI-2022-725,Finance,Guideline,Budget Release,Budget Release – Guideline,Finance Department Guideline on Budget Release,2022,2016-08-09,,Active,Circle-East,11,budget;campa
350,R-NOT-2015-579,Revenue,Notification,Eco Tourism,Eco Tourism – Notification,Revenue Department Notification on Eco Tourism,2015,2012-06-16,,Active,Circle-North,18,campa;community;eco;plantation
351,P-NOT-2014-668,Planning,Notification,Wildlife Protection,Wildlife Protection – Notification,Planning Department Notification on Wildlife Protection,2014,2019-12-13,,Active,Circle-East,22,fire;offence
352,R-CIR-2012-773,Revenue,Circular,Fire Management,Fire Management – Circular,Revenue Department Circular on Fire Management,2012,2012-07-08,,Active,Circle-South,59,campa;eco;rules;teak
353,P-CIR-2018-603,Planning,Circular,Land Allotment,Land Allotment – Circular,Planning Department Circular on Land Allotment,2018,2016-11-12,2019-11-23,Superseded,Circle-West,58,community;fire;land
354,R-OM-2017-894,Revenue,OM,Digital Monitoring,Digital Monitoring – OM,Revenue Department OM on Digital Monitoring,2017,2021-01-26,,Active,Circle-West,15,budget;offence
355,F-GUI-2021-942,Forest,Guideline,Community Forestry,Community Forestry – Guideline,Forest Department Guideline on Community Forestry,2021,2013-11-20,2015-04-03,Superseded,Circle-East,33,climate;wildlife
356,F-NOT-2014-967,Finance,Notification,CAMPA Utilisation,CAMPA Utilisation – Notification,Finance Department Notification on CAMPA Utilisation,2014,2018-07-21,,Active,Circle-South,92,budget;land;patrol
357,F-OM-2016-868,Finance,OM,Digital Monitoring,Digital Monitoring – OM,Finance Department OM on Digital Monitoring,2016,2012-07-02,2015-11-15,Superseded,Circle-West,67,community;land
358,F-CIR-2021-186,Forest,Circular,Wildlife Protection,Wildlife Protection – Circular,Forest Department Circular on Wildlife Protection,2021,2012-06-10,,Active,Statewide,54,eco;land;marketing;wildlife
359,R-GUI-2017-066,Revenue,Guideline,Fire Management,Fire Management – Guideline,Revenue Department Guideline on Fire Management,2017,2024-05-02,,Active,Circle-South,53,community;fire;land
360,F-ORD-2023-266,Finance,Order,Teak Plantation,Teak Plantation – Order,Finance Department Order on Teak Plantation,2023,2011-11-18,2015-10-23,Superseded,Circle-North,29,budget;community
361,P-GUI-2010-537,Planning,Guideline,Digital Monitoring,Digital Monitoring – Guideline,Planning Department Guideline on Digital Monitoring,2010,2016-10-29,,Active,Statewide,105,digital;land;rules
362,P-CIR-2015-183,Planning,Circular,Digital Monitoring,Digital Monitoring – Circular,Planning Department Circular on Digital Monitoring,2015,2020-02-13,,Active,Circle-South,40,budget;offence;rules
363,F-NOT-2011-375,Finance,Notification,Teak Plantation,Teak Plantation – Notification,Finance Department Notification on Teak Plantation,2011,2011-02-24,,Active,Statewide,48,climate;community
364,W-NOT-2021-920,Wildlife,Notification,Wildlife Protection,Wildlife Protection – Notification,Wildlife Department Notification on Wildlife Protection,2021,2010-03-28,,Active,Circle-South,99,campa;digital;fire;patrol
365,R-OM-2012-220,Revenue,OM,Digital Monitoring,Digital Monitoring – OM,Revenue Department OM on Digital Monitoring,2012,2021-04-15,,Active,Circle-South,91,eco;plantation;wildlife
366,P-CIR-2016-688,Planning,Circular,Budget Release,Budget Release – Circular,Planning Department Circular on Budget Release,2016,2012-10-27,2015-11-02,Superseded,Circle-West,112,rules;wildlife
367,W-OM-2023-425,Wildlife,OM,Digital Monitoring,Digital Monitoring – OM,Wildlife Department OM on Digital Monitoring,2023,2010-07-25,,Active,Circle-East,8,community;patrol
368,F-OM-2023-425,Forest,OM,Digital Monitoring,Digital Monitoring – OM,Forest Department OM on Digital Monitoring,2023,2017-05-12,,Active,Circle-East,103,climate;eco;wildlife
369,R-NOT-2012-681,Revenue,Notification,Fire Management,Fire Management – Notification,Revenue Department Notification on Fire Management,2012,2022-11-07,,Active,Circle-West,89,campa;climate;fire
370,W-ORD-2022-968,Wildlife,Order,CAMPA Utilisation,CAMPA Utilisation – Order,Wildlife Department Order on CAMPA Utilisation,2022,2014-07-14,,Active,Statewide,105,climate;land;rules;wildlife
371,R-GUI-2014-694,Revenue,Guideline,Climate Mission,Climate Mission – Guideline,Revenue Department Guideline on Climate Mission,2014,2024-08-12,,Active,Circle-North,89,climate;fire
372,P-GUI-2014-714,Planning,Guideline,Teak Plantation,Teak Plantation – Guideline,Planning Department Guideline on Teak Plantation,2014,2024-10-02,,Active,Circle-West,47,land;plantation;teak
373,P-ORD-2021-195,Planning,Order,Wildlife Protection,Wildlife Protection – Order,Planning Department Order on Wildlife Protection,2021,2013-07-12,,Active,Circle-South,89,budget;plantation
374,R-ORD-2019-944,Revenue,Order,Community Forestry,Community Forestry – Order,Revenue Department Order on Community Forestry,2019,2013-08-25,,Active,Circle-North,106,digital;plantation;wildlife
375,F-ORD-2012-314,Finance,Order,Fire Management,Fire Management – Order,Finance Department Order on Fire Management,2012,2017-10-14,,Active,Circle-North,51,budget;patrol
376,F-OM-2013-881,Forest,OM,Eco Tourism,Eco Tourism – OM,Forest Department OM on Eco Tourism,2013,2017-02-06,,Active,Circle-East,81,budget;digital;fire
377,W-OM-2022-029,Wildlife,OM,Digital Monitoring,Digital Monitoring – OM,Wildlife Department OM on Digital Monitoring,2022,2024-03-31,,Active,Circle-West,50,digital;land;marketing;rules
378,F-OM-2018-080,Forest,OM,Digital Monitoring,Digital Monitoring – OM,Forest Department OM on Digital Monitoring,2018,2018-01-18,,Active,Circle-West,112,budget;marketing;offence
379,F-CIR-2022-050,Finance,Circular,CAMPA Utilisation,CAMPA Utilisation – Circular,Finance Department Circular on CAMPA Utilisation,2022,2023-08-11,,Active,Circle-North,113,community;land;patrol
380,R-OM-2015-715,Revenue,OM,Budget Release,Budget Release – OM,Revenue Department OM on Budget Release,2015,2017-08-28,,Active,Circle-East,8,budget;campa;climate;eco
381,P-CIR-2020-290,Planning,Circular,Teak Plantation,Teak Plantation – Circular,Planning Department Circular on Teak Plantation,2020,2025-10-16,,Active,Circle-West,117,climate;community;rules
382,R-CIR-2019-700,Revenue,Circular,Digital Monitoring,Digital Monitoring – Circular,Revenue Department Circular on Digital Monitoring,2019,2025-12-15,2028-03-15,Superseded,Circle-West,112,climate;eco;land;wildlife
383,P-NOT-2018-852,Planning,Notification,Teak Plantation,Teak Plantation – Notification,Planning Department Notification on Teak Plantation,2018,2014-01-18,,Active,Circle-East,93,community;land;patrol;teak
384,W-ORD-2011-032,Wildlife,Order,Budget Release,Budget Release – Order,Wildlife Department Order on Budget Release,2011,2020-01-08,,Active,Circle-East,10,patrol;rules
385,F-OM-2013-759,Finance,OM,Climate Mission,Climate Mission – OM,Finance Department OM on Climate Mission,2013,2024-01-01,2025-06-15,Superseded,Statewide,62,fire;land;offence;wildlife
386,W-ORD-2015-270,Wildlife,Order,Fire Management,Fire Management – Order,Wildlife Department Order on Fire Management,2015,2022-05-05,,Active,Circle-West,62,offence;teak
387,F-NOT-2023-295,Finance,Notification,Wildlife Protection,Wildlife Protection – Notification,Finance Department Notification on Wildlife Protection,2023,2015-06-23,,Active,Circle-West,79,fire;land;patrol;rules
388,F-OM-2016-482,Forest,OM,Fire Management,Fire Management – OM,Forest Department OM on Fire Management,2016,2019-08-04,,Active,Circle-North,104,campa;patrol;rules
389,W-ORD-2020-135,Wildlife,Order,Community Forestry,Community Forestry – Order,Wildlife Department Order on Community Forestry,2020,2015-04-12,,Active,Statewide,3,campa;digital;rules
390,R-CIR-2025-458,Revenue,Circular,Fire Management,Fire Management – Circular,Revenue Department Circular on Fire Management,2025,2020-12-08,,Active,Circle-South,41,budget;rules;teak
391,P-GUI-2017-818,Planning,Guideline,Fire Management,Fire Management – Guideline,Planning Department Guideline on Fire Management,2017,2021-11-17,,Active,Circle-South,69,budget;digital;marketing;wildlife
392,R-GUI-2010-506,Revenue,Guideline,Community Forestry,Community Forestry – Guideline,Revenue Department Guideline on Community Forestry,2010,2012-04-05,,Active,Circle-East,29,fire;wildlife
393,F-CIR-2025-239,Finance,Circular,Land Allotment,Land Allotment – Circular,Finance Department Circular on Land Allotment,2025,2019-06-07,,Active,Circle-West,97,campa;digital;marketing
394,W-OM-2013-567,Wildlife,OM,Budget Release,Budget Release – OM,Wildlife Department OM on Budget Release,2013,2018-06-21,2019-10-11,Superseded,Statewide,114,climate;community;patrol
395,R-OM-2020-114,Revenue,OM,Wildlife Protection,Wildlife Protection – OM,Revenue Department OM on Wildlife Protection,2020,2010-07-09,,Active,Circle-North,96,budget;marketing;rules;teak
396,F-OM-2020-727,Forest,OM,Fire Management,Fire Management – OM,Forest Department OM on Fire Management,2020,2011-03-03,,Active,Circle-North,32,campa;offence;rules;wildlife
397,F-GUI-2012-870,Finance,Guideline,Fire Management,Fire Management – Guideline,Finance Department Guideline on Fire Management,2012,2020-07-02,,Active,Circle-North,33,eco;plantation
398,P-GUI-2013-391,Planning,Guideline,Fire Management,Fire Management – Guideline,Planning Department Guideline on Fire Management,2013,2018-05-24,,Active,Circle-North,18,land;offence;teak
399,F-ORD-2014-651,Finance,Order,Budget Release,Budget Release – Order,Finance Department Order on Budget Release,2014,2016-07-15,,Active,Circle-West,56,community;eco
400,P-NOT-2015-904,Planning,Notification,Teak Plantation,Teak Plantation – Notification,Planning Department Notification on Teak Plantation,2015,2020-01-08,2021-06-07,Superseded,Circle-South,61,fire;offence;patrol
401,F-GUI-2025-981,Forest,Guideline,Community Forestry,Community Forestry – Guideline,Forest Department Guideline on Community Forestry,2025,2014-09-15,,Active,Circle-North,102,climate;community;teak;wildlife
402,F-ORD-2020-139,Finance,Order,Wildlife Protection,Wildlife Protection – Order,Finance Department Order on Wildlife Protection,2020,2014-10-30,,Active,Statewide,120,budget;climate;patrol;teak
403,P-CIR-2019-487,Planning,Circular,Fire Management,Fire Management – Circular,Planning Department Circular on Fire Management,2019,2015-10-31,,Active,Circle-North,50,climate;land;offence;rules
404,R-OM-2013-768,Revenue,OM,Climate Mission,Climate Mission – OM,Revenue Department OM on Climate Mission,2013,2021-05-20,,Active,Circle-North,54,campa;marketing
