ruleId,priorityScore,effectiveFrom,effectiveToOrBlank,jurisdiction,minLevel,maxLevel,domain,actionType,minThreshold,maxThreshold,requiresWrittenOrder,requiresLegalVet,primaryApproverRole,secondaryApproverRole,citationCode,shortTitle
159,40,2018-04-19,,Circle-North,Range,HeadOffice,Land,PermitIssue,10.00,1010.00,1,0,APCCF,RO,RULE-LA-0159,Land PermitIssue threshold rule 159
160,65,2016-09-26,2021-09-26,Circle-West,Range,HeadOffice,Transport,LandUseChange,500.00,525.00,1,1,DFO,,RULE-TR-0160,Transport LandUseChange threshold rule 160
161,15,2023-03-28,,Circle-East,Range,Circle,Transport,LandUseChange,0.00,1000.00,1,0,PCCF,,RULE-TR-0161,Transport LandUseChange threshold rule 161
162,100,2015-07-08,,Circle-South,Beat,Range,Budget,LandUseChange,0.00,1000.00,1,0,FinanceOfficer,,RULE-BU-0162,Budget LandUseChange threshold rule 162
163,72,2025-08-12,2030-08-12,Statewide,Circle,HeadOffice,Budget,FireClearance,100.00,200.00,1,1,LegalOfficer,,RULE-BU-0163,Budget FireClearance threshold rule 163
164,46,2022-04-11,,Circle-East,Beat,Beat,Budget,LandUseChange,0.00,100.00,1,0,APCCF,,RULE-BU-0164,Budget LandUseChange threshold rule 164
165,87,2016-02-11,,Statewide,Division,Circle,Land,TransportPass,100.00,1100.00,1,1,APCCF,,RULE-LA-0165,Land TransportPass threshold rule 165
166,14,2015-01-29,,Circle-South,Range,Circle,Transport,FireClearance,25.00,125.00,1,0,RO,APCCF,RULE-TR-0166,Transport FireClearance threshold rule 166
167,16,2020-10-15,,Circle-South,Beat,Beat,Wildlife,OffenceCompounding,100.00,200.00,0,0,FinanceOfficer,,RULE-WI-0167,Wildlife OffenceCompounding threshold rule 167
168,52,2016-01-03,2022-01-03,Statewide,Beat,Circle,Wildlife,OffenceCompounding,25.00,50.00,1,0,LegalOfficer,CF,RULE-WI-0168,Wildlife OffenceCompounding threshold rule 168
169,8,2023-07-25,,Circle-East,Beat,HeadOffice,Wildlife,OffenceCompounding,500.00,525.00,1,0,DFO,,RULE-WI-0169,Wildlife OffenceCompounding threshold rule 169
170,1,2024-03-28,,Circle-East,Division,HeadOffice,Fire,PermitIssue,10.00,35.00,1,0,APCCF,,RULE-FI-0170,Fire PermitIssue threshold rule 170
171,87,2019-11-25,,Circle-East,Division,HeadOffice,Fire,PermitIssue,0.00,250.00,1,0,RO,,RULE-FI-0171,Fire PermitIssue threshold rule 171
172,51,2018-06-23,,Circle-West,Beat,Range,Timber,BudgetSanction,25.00,1025.00,1,0,DFO,,RULE-TI-0172,Timber BudgetSanction threshold rule 172
173,61,2019-07-28,2023-07-28,Circle-East,Range,HeadOffice,Land,BudgetSanction,500.00,1000.00,1,0,PCCF,,RULE-LA-0173,Land BudgetSanction threshold rule 173
174,22,2023-09-02,,Circle-North,Beat,Division,Wildlife,FireClearance,25.00,525.00,1,0,APCCF,,RULE-WI-0174,Wildlife FireClearance threshold rule 174
175,76,2024-06-12,,Circle-West,Range,HeadOffice,Fire,BudgetSanction,25.00,50.00,1,1,CF,APCCF,RULE-FI-0175,Fire BudgetSanction threshold rule 175
176,74,2015-07-04,2016-07-04,Circle-South,Circle,Circle,Fire,TransportPass,50.00,1050.00,1,1,APCCF,,RULE-FI-0176,Fire TransportPass threshold rule 176
177,59,2019-05-04,,Circle-North,Range,Range,Fire,OffenceCompounding,100.00,150.00,1,0,PCCF,APCCF,RULE-FI-0177,Fire OffenceCompounding threshold rule 177
178,43,2020-06-28,2027-06-28,Circle-South,Division,Division,Wildlife,TransportPass,10.00,60.00,0,0,CF,LegalOfficer,RULE-WI-0178,Wildlife TransportPass threshold rule 178
179,25,2021-07-13,2024-07-13,Circle-South,Division,Division,Fire,OffenceCompounding,100.00,200.00,1,0,DFO,,RULE-FI-0179,Fire OffenceCompounding threshold rule 179
180,33,2022-06-28,2025-06-28,Circle-West,Range,Circle,Land,PermitIssue,25.00,50.00,1,1,PCCF,APCCF,RULE-LA-0180,Land PermitIssue threshold rule 180
181,21,2024-03-20,,Circle-North,Beat,HeadOffice,Fire,TransportPass,100.00,1100.00,0,1,RO,,RULE-FI-0181,Fire TransportPass threshold rule 181
182,100,2019-01-25,,Circle-West,Range,HeadOffice,Land,FireClearance,25.00,125.00,0,0,PCCF,FinanceOfficer,RULE-LA-0182,Land FireClearance threshold rule 182
183,45,2024-12-06,2029-12-06,Statewide,Beat,Division,Timber,PermitIssue,100.00,125.00,1,0,CF,,RULE-TI-0183,Timber PermitIssue threshold rule 183
184,8,2025-08-23,,Statewide,Range,Range,Land,LandUseChange,10.00,1010.00,1,0,FinanceOfficer,PCCF,RULE-LA-0184,Land LandUseChange threshold rule 184
185,89,2018-12-21,,Circle-North,Beat,Circle,Wildlife,BudgetSanction,10.00,35.00,1,1,PCCF,CF,RULE-WI-0185,Wildlife BudgetSanction threshold rule 185
186,33,2018-10-06,2021-10-06,Circle-North,Range,HeadOffice,Timber,LandUseChange,50.00,1050.00,0,0,PCCF,DFO,RULE-TI-0186,Timber LandUseChange threshold rule 186
187,12,2023-08-17,,Statewide,Beat,Beat,Budget,OffenceCompounding,0.00,1000.00,1,0,FinanceOfficer,,RULE-BU-0187,Budget OffenceCompounding threshold rule 187
188,75,2023-08-07,,Statewide,Beat,Division,Timber,TransportPass,50.00,100.00,1,0,CF,LegalOfficer,RULE-TI-0188,Timber TransportPass threshold rule 188
189,31,2017-12-10,2020-12-10,Circle-West,Division,HeadOffice,Fire,OffenceCompounding,50.00,100.00,0,0,DFO,CF,RULE-FI-0189,Fire OffenceCompounding threshold rule 189
190,58,2020-05-15,2023-05-15,Circle-North,Range,Circle,Transport,LandUseChange,100.00,200.00,1,1,CF,CF,RULE-TR-0190,Transport LandUseChange threshold rule 190
191,66,2018-09-11,,Circle-North,Beat,Range,Transport,PermitIssue,0.00,5000.00,1,1,APCCF,,RULE-TR-0191,Transport PermitIssue threshold rule 191
192,18,2019-02-27,,Statewide,Beat,Circle,Wildlife,BudgetSanction,500.00,550.00,1,0,APCCF,,RULE-WI-0192,Wildlife BudgetSanction threshold rule 192
193,72,2021-08-27,,Statewide,Circle,Circle,Timber,BudgetSanction,0.00,1000.00,0,0,DFO,DFO,RULE-TI-0193,Timber BudgetSanction threshold rule 193
194,21,2024-11-05,,Circle-North,Division,Circle,Wildlife,TransportPass,10.00,110.00,0,1,DFO,,RULE-WI-0194,Wildlife TransportPass threshold rule 194
195,31,2024-11-23,,Circle-East,Division,Circle,Fire,PermitIssue,25.00,75.00,0,1,DFO,,RULE-FI-0195,Fire PermitIssue threshold rule 195
196,87,2015-07-21,2018-07-21,Circle-North,Beat,Division,Transport,LandUseChange,100.00,1100.00,1,0,CF,,RULE-TR-0196,Transport LandUseChange threshold rule 196
197,11,2022-05-01,2023-05-01,Circle-South,Range,Division,Budget,FireClearance,100.00,125.00,1,0,PCCF,,RULE-BU-0197,Budget FireClearance threshold rule 197
198,78,2024-06-27,,Statewide,Range,Division,Land,FireClearance,0.00,1000.00,0,0,RO,RO,RULE-LA-0198,Land FireClearance threshold rule 198
199,23,2019-07-02,,Circle-North,Beat,Beat,Wildlife,BudgetSanction,50.00,1050.00,1,0,DFO,DFO,RULE-WI-0199,Wildlife BudgetSanction threshold rule 199
200,39,2025-11-24,2028-11-24,Circle-West,Division,HeadOffice,Land,OffenceCompounding,100.00,200.00,1,1,PCCF,,RULE-LA-0200,Land OffenceCompounding threshold rule 200
201,54,2019-10-26,,Circle-East,Division,Circle,Land,TransportPass,500.00,1500.00,0,0,DFO,,RULE-LA-0201,Land TransportPass threshold rule 201
202,72,2025-04-23,2027-04-23,Circle-South,Range,HeadOffice,Wildlife,FireClearance,25.00,125.00,1,0,RO,PCCF,RULE-WI-0202,Wildlife FireClearance threshold rule 202
203,15,2020-07-29,,Circle-West,Circle,Circle,Fire,BudgetSanction,50.00,150.00,1,0,PCCF,,RULE-FI-0203,Fire BudgetSanction threshold rule 203
204,12,2018-08-01,,Circle-East,Beat,Range,Timber,OffenceCompounding,100.00,600.00,1,1,RO,LegalOfficer,RULE-TI-0204,Timber OffenceCompounding threshold rule 204
205,52,2023-12-13,2025-12-13,Circle-West,Beat,Circle,Budget,LandUseChange,0.00,50.00,1,0,CF,FinanceOfficer,RULE-BU-0205,Budget LandUseChange threshold rule 205
206,65,2020-08-22,,Circle-North,Range,HeadOffice,Budget,FireClearance,10.00,60.00,0,0,LegalOfficer,DFO,RULE-BU-0206,Budget FireClearance threshold rule 206
207,16,2024-02-20,,Circle-North,Beat,Beat,Transport,FireClearance,25.00,525.00,0,0,APCCF,,RULE-TR-0207,Transport FireClearance threshold rule 207
208,83,2024-09-14,2030-09-14,Circle-North,Beat,Division,Budget,BudgetSanction,25.00,125.00,1,0,LegalOfficer,FinanceOfficer,RULE-BU-0208,Budget BudgetSanction threshold rule 208
209,80,2022-04-12,2028-04-12,Statewide,Circle,HeadOffice,Land,PermitIssue,100.00,200.00,0,0,APCCF,FinanceOfficer,RULE-LA-0209,Land PermitIssue threshold rule 209
210,46,2015-06-10,2017-06-10,Circle-East,Range,Division,Fire,LandUseChange,0.00,100.00,1,0,CF,,RULE-FI-0210,Fire LandUseChange threshold rule 210
211,4,2022-04-07,2029-04-07,Statewide,Division,Circle,Timber,PermitIssue,25.00,1025.00,0,0,APCCF,,RULE-TI-0211,Timber PermitIssue threshold rule 211
212,43,2016-03-22,2021-03-22,Circle-East,Beat,Beat,Timber,FireClearance,100.00,125.00,1,0,DFO,PCCF,RULE-TI-0212,Timber FireClearance threshold rule 212
213,47,2017-09-15,,Circle-East,Beat,Division,Timber,OffenceCompounding,25.00,1025.00,0,0,PCCF,,RULE-TI-0213,Timber OffenceCompounding threshold rule 213
214,53,2025-04-26,2029-04-26,Statewide,Beat,Circle,Land,BudgetSanction,500.00,1000.00,0,0,FinanceOfficer,,RULE-LA-0214,Land BudgetSanction threshold rule 214
215,65,2025-02-13,,Circle-West,Circle,Circle,Transport,PermitIssue,10.00,60.00,0,1,DFO,CF,RULE-TR-0215,Transport PermitIssue threshold rule 215
216,93,2021-07-22,,Circle-South,Division,HeadOffice,Timber,FireClearance,0.00,1000.00,1,0,APCCF,CF,RULE-TI-0216,Timber FireClearance threshold rule 216
217,8,2021-03-04,2024-03-04,Circle-East,Circle,Circle,Land,BudgetSanction,100.00,150.00,1,0,FinanceOfficer,,RULE-LA-0217,Land BudgetSanction threshold rule 217
218,53,2015-07-10,2020-07-10,Circle-North,Range,Range,Transport,BudgetSanction,50.00,75.00,1,0,FinanceOfficer,,RULE-TR-0218,Transport BudgetSanction threshold rule 218
219,14,2017-05-01,,Circle-East,Division,HeadOffice,Timber,OffenceCompounding,25.00,50.00,1,0,PCCF,,RULE-TI-0219,Timber OffenceCompounding threshold rule 219
220,95,2019-06-22,,Circle-North,Division,Division,Timber,FireClearance,25.00,525.00,1,0,DFO,,RULE-TI-0220,Timber FireClearance threshold rule 220
221,41,2017-05-15,,Circle-East,Division,HeadOffice,Timber,BudgetSanction,500.00,1000.00,1,0,FinanceOfficer,PCCF,RULE-TI-0221,Timber BudgetSanction threshold rule 221
222,52,2024-12-08,,Circle-North,Division,Division,Fire,LandUseChange,100.00,600.00,1,0,DFO,,RULE-FI-0222,Fire LandUseChange threshold rule 222
223,11,2021-01-17,,Circle-South,Circle,Circle,Land,OffenceCompounding,50.00,150.00,1,0,LegalOfficer,DFO,RULE-LA-0223,Land OffenceCompounding threshold rule 223
224,96,2025-03-27,,Circle-East,Beat,Range,Fire,BudgetSanction,0.00,5000.00,0,0,CF,,RULE-FI-0224,Fire BudgetSanction threshold rule 224
225,75,2020-05-12,2026-05-12,Circle-West,Circle,Circle,Timber,TransportPass,100.00,200.00,0,0,RO,PCCF,RULE-TI-0225,Timber TransportPass threshold rule 225
226,44,2020-12-03,,Circle-South,Range,HeadOffice,Fire,BudgetSanction,25.00,525.00,1,1,RO,,RULE-FI-0226,Fire BudgetSanction threshold rule 226
227,68,2021-04-01,,Circle-West,Beat,Division,Budget,BudgetSanction,0.00,50.00,1,0,DFO,,RULE-BU-0227,Budget BudgetSanction threshold rule 227
228,28,2019-04-07,,Circle-North,Division,HeadOffice,Transport,LandUseChange,0.00,5000.00,1,0,DFO,,RULE-TR-0228,Transport LandUseChange threshold rule 228
229,81,2024-10-14,,Circle-West,Range,Division,Wildlife,PermitIssue,0.00,50.00,1,1,DFO,APCCF,RULE-WI-0229,Wildlife PermitIssue threshold rule 229
230,8,2022-10-19,,Circle-South,Division,Division,Transport,FireClearance,25.00,125.00,1,0,DFO,,RULE-TR-0230,Transport FireClearance threshold rule 230
231,90,2018-07-08,2025-07-08,Circle-West,Division,HeadOffice,Transport,OffenceCompounding,10.00,1010.00,1,0,DFO,,RULE-TR-0231,Transport OffenceCompounding threshold rule 231
232,44,2023-11-02,,Circle-East,Range,Division,Transport,FireClearance,10.00,510.00,1,0,DFO,,RULE-TR-0232,Transport FireClearance threshold rule 232
233,41,2024-10-12,,Circle-East,Division,Division,Wildlife,BudgetSanction,500.00,525.00,0,0,LegalOfficer,,RULE-WI-0233,Wildlife BudgetSanction threshold rule 233
234,70,2025-07-21,,Statewide,Division,Division,Transport,OffenceCompounding,50.00,1050.00,1,0,LegalOfficer,RO,RULE-TR-0234,Transport OffenceCompounding threshold rule 234
235,90,2021-11-22,2024-11-22,Statewide,Range,Circle,Timber,BudgetSanction,25.00,75.00,1,0,CF,CF,RULE-TI-0235,Timber BudgetSanction threshold rule 235
236,39,2017-12-04,2020-12-04,Circle-South,Circle,Circle,Budget,TransportPass,0.00,100.00,0,0,PCCF,PCCF,RULE-BU-0236,Budget TransportPass threshold rule 236
237,97,2024-10-14,,Circle-East,Range,HeadOffice,Land,OffenceCompounding,100.00,200.00,1,0,PCCF,,RULE-LA-0237,Land OffenceCompounding threshold rule 237
238,29,2018-03-13,2021-03-13,Circle-East,Beat,Beat,Transport,BudgetSanction,25.00,1025.00,1,0,LegalOfficer,,RULE-TR-0238,Transport BudgetSanction threshold rule 238
239,60,2022-10-04,,Circle-East,Beat,Circle,Transport,LandUseChange,10.00,1010.00,0,0,LegalOfficer,RO,RULE-TR-0239,Transport LandUseChange threshold rule 239
240,32,2020-12-28,,Circle-West,Circle,HeadOffice,Timber,OffenceCompounding,100.00,200.00,0,1,RO,DFO,RULE-TI-0240,Timber OffenceCompounding threshold rule 240
241,50,2023-01-07,,Statewide,Circle,HeadOffice,Transport,LandUseChange,100.00,125.00,1,1,APCCF,,RULE-TR-0241,Transport LandUseChange threshold rule 241
242,32,2022-07-24,,Circle-East,Division,HeadOffice,Fire,LandUseChange,0.00,50.00,1,0,DFO,,RULE-FI-0242,Fire LandUseChange threshold rule 242
243,32,2023-07-18,,Circle-North,Beat,Range,Budget,TransportPass,500.00,550.00,0,1,RO,,RULE-BU-0243,Budget TransportPass threshold rule 243
244,92,2016-07-29,,Statewide,Range,HeadOffice,Fire,OffenceCompounding,25.00,75.00,1,1,RO,,RULE-FI-0244,Fire OffenceCompounding threshold rule 244
245,6,2024-09-16,,Circle-East,Division,Circle,Fire,FireClearance,10.00,510.00,1,0,DFO,,RULE-FI-0245,Fire FireClearance threshold rule 245
246,35,2025-04-16,2026-04-16,Statewide,Division,Division,Fire,TransportPass,50.00,150.00,0,0,RO,,RULE-FI-0246,Fire TransportPass threshold rule 246
247,86,2022-04-21,,Circle-East,Division,Circle,Timber,PermitIssue,50.00,550.00,1,1,CF,RO,RULE-TI-0247,Timber PermitIssue threshold rule 247
248,47,2021-10-30,,Circle-South,Circle,Circle,Transport,FireClearance,100.00,150.00,1,1,FinanceOfficer,,RULE-TR-0248,Transport FireClearance threshold rule 248
249,73,2022-01-10,2024-01-10,Circle-East,Beat,Beat,Transport,PermitIssue,10.00,60.00,1,1,APCCF,,RULE-TR-0249,Transport PermitIssue threshold rule 249
250,96,2016-10-30,,Statewide,Division,Division,Wildlife,OffenceCompounding,10.00,1010.00,1,1,FinanceOfficer,RO,RULE-WI-0250,Wildlife OffenceCompounding threshold rule 250
251,92,2015-07-11,2018-07-11,Circle-West,Beat,HeadOffice,Timber,TransportPass,25.00,75.00,1,1,DFO,PCCF,RULE-TI-0251,Timber TransportPass threshold rule 251
252,22,2015-10-17,2020-10-17,Circle-East,Circle,Circle,Land,LandUseChange,500.00,1500.00,1,1,CF,PCCF,RULE-LA-0252,Land LandUseChange threshold rule 252
253,4,2017-03-03,,Statewide,Circle,HeadOffice,Budget,LandUseChange,25.00,75.00,1,0,CF,,RULE-BU-0253,Budget LandUseChange threshold rule 253
254,14,2025-03-09,,Circle-South,Division,Circle,Budget,TransportPass,0.00,100.00,1,0,CF,,RULE-BU-0254,Budget TransportPass threshold rule 254
255,15,2021-04-02,,Circle-East,Division,HeadOffice,Transport,FireClearance,100.00,1100.00,0,1,DFO,,RULE-TR-0255,Transport FireClearance threshold rule 255
256,84,2018-01-09,,Circle-North,Division,Circle,Land,LandUseChange,0.00,100.00,0,0,APCCF,,RULE-LA-0256,Land LandUseChange threshold rule 256
257,36,2017-05-04,,Circle-West,Circle,Circle,Budget,BudgetSanction,500.00,525.00,1,0,FinanceOfficer,,RULE-BU-0257,Budget BudgetSanction threshold rule 257
258,70,2024-07-09,2028-07-09,Circle-West,Division,HeadOffice,Timber,PermitIssue,0.00,50.00,1,0,APCCF,,RULE-TI-0258,Timber PermitIssue threshold rule 258
259,82,2015-04-21,2021-04-21,Circle-North,Circle,Circle,Fire,BudgetSanction,50.00,550.00,1,0,DFO,FinanceOfficer,RULE-FI-0259,Fire BudgetSanction threshold rule 259
260,60,2021-01-14,,Circle-North,Range,Division,Transport,LandUseChange,10.00,35.00,1,0,PCCF,,RULE-TR-0260,Transport LandUseChange threshold rule 260
261,74,2022-07-20,,Statewide,Division,Division,Timber,TransportPass,50.00,150.00,1,0,LegalOfficer,,RULE-TI-0261,Timber TransportPass threshold rule 261
262,15,2015-08-23,,Statewide,Circle,Circle,Timber,PermitIssue,100.00,150.00,0,1,CF,PCCF,RULE-TI-0262,Timber PermitIssue threshold rule 262
263,90,2024-03-29,,Statewide,Division,HeadOffice,Fire,FireClearance,25.00,525.00,1,0,LegalOfficer,PCCF,RULE-FI-0263,Fire FireClearance threshold rule 263
264,42,2018-03-21,,Circle-South,Circle,HeadOffice,Wildlife,PermitIssue,50.00,550.00,0,0,PCCF,CF,RULE-WI-0264,Wildlife PermitIssue threshold rule 264
265,8,2021-01-16,2026-01-16,Circle-South,Beat,Division,Timber,BudgetSanction,100.00,1100.00,1,1,FinanceOfficer,,RULE-TI-0265,Timber BudgetSanction threshold rule 265
266,51,2022-08-26,,Circle-South,Beat,Beat,Timber,FireClearance,50.00,1050.00,1,0,DFO,,RULE-TI-0266,Timber FireClearance threshold rule 266
267,73,2019-10-01,2021-10-01,Circle-North,Circle,HeadOffice,Budget,OffenceCompounding,50.00,100.00,0,1,DFO,,RULE-BU-0267,Budget OffenceCompounding threshold rule 267
268,17,2016-10-26,2022-10-26,Statewide,Range,Division,Budget,BudgetSanction,10.00,1010.00,0,1,RO,DFO,RULE-BU-0268,Budget BudgetSanction threshold rule 268
269,55,2023-10-01,2028-10-01,Statewide,Division,Circle,Land,TransportPass,0.00,5000.00,1,0,CF,,RULE-LA-0269,Land TransportPass threshold rule 269
270,27,2023-09-08,,Statewide,Circle,Circle,Land,LandUseChange,10.00,110.00,1,0,LegalOfficer,,RULE-LA-0270,Land LandUseChange threshold rule 270
271,65,2017-09-04,2022-09-04,Circle-West,Division,Division,Wildlife,LandUseChange,100.00,200.00,0,0,CF,,RULE-WI-0271,Wildlife LandUseChange threshold rule 271
272,44,2022-07-25,,Circle-North,Circle,Circle,Timber,LandUseChange,0.00,100.00,1,0,APCCF,,RULE-TI-0272,Timber LandUseChange threshold rule 272
273,63,2019-02-02,2020-02-02,Circle-North,Range,Division,Wildlife,PermitIssue,500.00,1500.00,1,0,LegalOfficer,,RULE-WI-0273,Wildlife PermitIssue threshold rule 273
274,56,2019-07-24,2022-07-24,Circle-East,Division,Division,Fire,OffenceCompounding,25.00,525.00,1,0,LegalOfficer,,RULE-FI-0274,Fire OffenceCompounding threshold rule 274
275,20,2024-06-17,2030-06-17,Statewide,Division,Circle,Budget,LandUseChange,0.00,100.00,0,0,APCCF,,RULE-BU-0275,Budget LandUseChange threshold rule 275
276,90,2016-08-05,,Circle-West,Beat,HeadOffice,Budget,BudgetSanction,10.00,35.00,0,0,APCCF,,RULE-BU-0276,Budget BudgetSanction threshold rule 276
277,38,2025-06-17,,Circle-South,Division,HeadOffice,Land,PermitIssue,10.00,1010.00,0,0,DFO,APCCF,RULE-LA-0277,Land PermitIssue threshold rule 277
278,10,2015-12-05,,Circle-West,Beat,Range,Land,BudgetSanction,100.00,600.00,1,1,APCCF,,RULE-LA-0278,Land BudgetSanction threshold rule 278
279,34,2025-11-26,2030-11-26,Circle-West,Beat,Range,Budget,FireClearance,0.00,100.00,1,1,RO,PCCF,RULE-BU-0279,Budget FireClearance threshold rule 279
280,21,2018-05-10,,Circle-West,Division,Circle,Timber,BudgetSanction,500.00,525.00,1,0,FinanceOfficer,PCCF,RULE-TI-0280,Timber BudgetSanction threshold rule 280
281,68,2024-10-08,,Circle-West,Circle,Circle,Wildlife,FireClearance,0.00,100.00,0,0,RO,,RULE-WI-0281,Wildlife FireClearance threshold rule 281
282,60,2016-11-22,,Circle-South,Division,Division,Budget,BudgetSanction,0.00,1000.00,1,1,DFO,CF,RULE-BU-0282,Budget BudgetSanction threshold rule 282
283,83,2023-08-15,,Circle-North,Circle,HeadOffice,Transport,FireClearance,10.00,510.00,1,1,FinanceOfficer,,RULE-TR-0283,Transport FireClearance threshold rule 283
284,71,2016-07-17,,Circle-West,Circle,Circle,Wildlife,FireClearance,50.00,100.00,1,0,APCCF,LegalOfficer,RULE-WI-0284,Wildlife FireClearance threshold rule 284
285,64,2025-07-05,,Statewide,Division,Division,Land,TransportPass,0.00,50.00,1,1,CF,CF,RULE-LA-0285,Land TransportPass threshold rule 285
286,83,2024-06-30,,Circle-South,Circle,HeadOffice,Timber,BudgetSanction,25.00,525.00,1,0,CF,,RULE-TI-0286,Timber BudgetSanction threshold rule 286
287,90,2016-08-17,2021-08-17,Circle-East,Division,Division,Transport,PermitIssue,50.00,100.00,0,1,CF,RO,RULE-TR-0287,Transport PermitIssue threshold rule 287
288,40,2023-10-22,2028-10-22,Circle-West,Circle,HeadOffice,Wildlife,TransportPass,0.00,250.00,1,0,DFO,LegalOfficer,RULE-WI-0288,Wildlife TransportPass threshold rule 288
289,11,2017-03-29,2020-03-29,Circle-East,Beat,Division,Timber,BudgetSanction,50.00,150.00,1,1,CF,,RULE-TI-0289,Timber BudgetSanction threshold rule 289
290,9,2025-04-26,2028-04-26,Circle-West,Beat,Range,Budget,TransportPass,10.00,35.00,1,0,RO,,RULE-BU-0290,Budget TransportPass threshold rule 290
291,88,2018-07-30,2022-07-30,Circle-West,Beat,Beat,Budget,OffenceCompounding,25.00,525.00,1,1,LegalOfficer,,RULE-BU-0291,Budget OffenceCompounding threshold rule 291
292,10,2019-08-14,2025-08-14,Circle-West,Division,Circle,Wildlife,BudgetSanction,0.00,50.00,1,1,CF,PCCF,RULE-WI-0292,Wildlife BudgetSanction threshold rule 292
293,69,2018-04-06,,Circle-East,Beat,Division,Transport,BudgetSanction,50.00,75.00,1,1,CF,,RULE-TR-0293,Transport BudgetSanction threshold rule 293
294,21,2016-04-15,2023-04-15,Circle-East,Beat,Beat,Budget,PermitIssue,50.00,1050.00,1,1,RO,,RULE-BU-0294,Budget PermitIssue threshold rule 294
295,72,2022-05-01,,Circle-South,Circle,HeadOffice,Transport,BudgetSanction,500.00,550.00,1,0,PCCF,,RULE-TR-0295,Transport BudgetSanction threshold rule 295
296,68,2020-10-13,,Statewide,Beat,HeadOffice,Land,TransportPass,50.00,75.00,0,1,PCCF,LegalOfficer,RULE-LA-0296,Land TransportPass threshold rule 296
297,98,2020-06-26,2026-06-26,Circle-South,Circle,Circle,Budget,TransportPass,500.00,1000.00,0,0,CF,,RULE-BU-0297,Budget TransportPass threshold rule 297
298,53,2022-12-15,,Statewide,Beat,Beat,Land,BudgetSanction,10.00,110.00,1,0,APCCF,,RULE-LA-0298,Land BudgetSanction threshold rule 298
299,16,2024-01-18,,Circle-South,Beat,Range,Budget,BudgetSanction,50.00,1050.00,1,0,PCCF,RO,RULE-BU-0299,Budget BudgetSanction threshold rule 299
300,95,2025-03-05,,Circle-West,Range,Division,Wildlife,BudgetSanction,500.00,1000.00,1,0,CF,RO,RULE-WI-0300,Wildlife BudgetSanction threshold rule 300
301,17,2016-01-07,,Statewide,Range,Range,Wildlife,PermitIssue,0.00,250.00,1,0,CF,,RULE-WI-0301,Wildlife PermitIssue threshold rule 301
302,92,2021-07-05,,Circle-South,Division,HeadOffice,Transport,FireClearance,500.00,600.00,0,1,CF,,RULE-TR-0302,Transport FireClearance threshold rule 302
303,28,2016-12-13,2017-12-13,Statewide,Circle,HeadOffice,Transport,FireClearance,0.00,50.00,1,1,FinanceOfficer,,RULE-TR-0303,Transport FireClearance threshold rule 303
304,7,2025-01-08,,Circle-East,Range,Circle,Fire,BudgetSanction,25.00,50.00,1,1,APCCF,,RULE-FI-0304,Fire BudgetSanction threshold rule 304
305,52,2020-03-08,,Circle-North,Circle,HeadOffice,Fire,LandUseChange,500.00,525.00,1,0,DFO,,RULE-FI-0305,Fire LandUseChange threshold rule 305
306,18,2017-06-26,,Circle-West,Range,Range,Fire,FireClearance,100.00,150.00,0,0,CF,FinanceOfficer,RULE-FI-0306,Fire FireClearance threshold rule 306
307,10,2018-11-29,,Statewide,Beat,Circle,Transport,BudgetSanction,0.00,1000.00,1,1,PCCF,,RULE-TR-0307,Transport BudgetSanction threshold rule 307
308,22,2024-09-05,,Circle-South,Division,Division,Timber,FireClearance,25.00,1025.00,1,0,DFO,,RULE-TI-0308,Timber FireClearance threshold rule 308
309,99,2021-09-23,,Circle-East,Circle,Circle,Transport,OffenceCompounding,25.00,50.00,0,0,CF,RO,RULE-TR-0309,Transport OffenceCompounding threshold rule 309
310,74,2018-06-05,,Statewide,Beat,HeadOffice,Transport,BudgetSanction,25.00,50.00,1,0,DFO,,RULE-TR-0310,Transport BudgetSanction threshold rule 310
311,39,2017-07-15,,Circle-West,Division,Circle,Fire,OffenceCompounding,25.00,525.00,0,0,FinanceOfficer,,RULE-FI-0311,Fire OffenceCompounding threshold rule 311
312,9,2019-07-30,,Circle-South,Range,Circle,Fire,BudgetSanction,0.00,250.00,1,0,LegalOfficer,,RULE-FI-0312,Fire BudgetSanction threshold rule 312
313,69,2023-09-11,,Circle-West,Beat,HeadOffice,Land,LandUseChange,50.00,100.00,1,0,CF,APCCF,RULE-LA-0313,Land LandUseChange threshold rule 313
314,50,2024-03-21,2030-03-21,Statewide,Division,Division,Wildlife,TransportPass,25.00,525.00,1,0,FinanceOfficer,,RULE-WI-0314,Wildlife TransportPass threshold rule 314
315,72,2017-05-07,,Circle-South,Division,Division,Transport,LandUseChange,0.00,1000.00,1,0,DFO,FinanceOfficer,RULE-TR-0315,Transport LandUseChange threshold rule 315
316,68,2021-07-23,2028-07-23,Circle-North,Beat,Circle,Land,BudgetSanction,0.00,1000.00,1,1,PCCF,APCCF,RULE-LA-0316,Land BudgetSanction threshold rule 316
317,87,2016-04-22,,Circle-North,Circle,HeadOffice,Fire,LandUseChange,10.00,510.00,1,0,LegalOfficer,CF,RULE-FI-0317,Fire LandUseChange threshold rule 317
318,45,2015-12-17,,Circle-South,Range,Division,Timber,PermitIssue,0.00,5000.00,1,0,RO,,RULE-TI-0318,Timber PermitIssue threshold rule 318
