heap_index,case_id,species,condition,triage_level,age_years,temperature_c,resp_rate_min,heart_rate_bpm,trauma_severity_0_3,infectious_suspect,pregnant,priority_score
232,ANM_0232,CHITAL,TRAUMA,ORANGE_VERY_URGENT,2.4,39.7,67,182,1,NO,NO,61.0
233,ANM_0933,BLACKBUCK,FEVER,YELLOW_URGENT,1.4,36.3,78,197,1,NO,NO,46.0
234,ANM_0469,BARASINGHA,FEVER,ORANGE_VERY_URGENT,7.0,36.9,67,108,3,NO,NO,77.0
235,ANM_0470,HYENA,FEVER,ORANGE_VERY_URGENT,2.6,37.2,59,151,1,NO,YES,67.0
236,ANM_0946,CHITAL,OBSTETRIC,ORANGE_VERY_URGENT,1.4,36.2,40,159,1,NO,NO,58.0
237,ANM_0951,HYENA,TRAUMA,ORANGE_VERY_URGENT,0.9,39.7,55,186,0,NO,NO,49.0
238,ANM_0954,CROCODILE,RESPIRATORY,ORANGE_VERY_URGENT,4.5,36.7,42,73,3,NO,NO,73.0
239,ANM_0958,WILD_BOAR,FEVER,RED_IMMEDIATE,5.3,37.0,53,191,1,NO,NO,77.0
240,ANM_0961,WILD_DOG,TRAUMA,ORANGE_VERY_URGENT,0.7,38.0,67,144,0,YES,NO,60.0
241,ANM_0967,GAUR,RESPIRATORY,ORANGE_VERY_URGENT,4.9,37.4,32,97,3,YES,NO,81.0
242,ANM_0121,GAUR,TRAUMA,ORANGE_VERY_URGENT,7.6,38.9,65,143,3,NO,NO,72.0
243,ANM_0487,ELEPHANT,TRAUMA,ORANGE_VERY_URGENT,2.0,39.3,76,159,2,YES,NO,76.0
244,ANM_0978,CROCODILE,TRAUMA,ORANGE_VERY_URGENT,9.1,37.9,69,159,3,NO,NO,72.0
245,ANM_0061,SLOTH_BEAR,OBSTETRIC,YELLOW_URGENT,9.0,36.6,72,101,2,YES,YES,71.0
246,ANM_0986,BLACKBUCK,FEVER,ORANGE_VERY_URGENT,5.9,38.5,49,107,1,YES,NO,64.0
247,ANM_0495,SAMBAR_DEER,GI,ORANGE_VERY_URGENT,1.0,36.7,27,176,3,NO,NO,69.0
248,ANM_0496,WILD_DOG,FEVER,RED_IMMEDIATE,0.8,38.7,31,86,2,NO,NO,76.0
249,ANM_0996,HORNBILL,FEVER,ORANGE_VERY_URGENT,1.4,40.6,62,154,2,NO,NO,74.0
250,ANM_0501,BARASINGHA,RESPIRATORY,YELLOW_URGENT,0.7,40.7,53,91,2,NO,NO,50.0
251,ANM_0251,TIGER,FEVER,YELLOW_URGENT,9.2,36.5,25,107,3,NO,NO,49.0
252,ANM_0031,CROCODILE,TRAUMA,YELLOW_URGENT,6.7,40.7,26,94,2,YES,YES,68.0
253,ANM_0506,WILD_BOAR,FEVER,GREEN_STANDARD,3.2,36.2,65,172,2,NO,NO,39.0
254,ANM_0254,SAMBAR_DEER,FEVER,ORANGE_VERY_URGENT,1.9,36.8,37,167,2,NO,YES,71.0
255,ANM_0511,SLOTH_BEAR,TRAUMA,ORANGE_VERY_URGENT,5.9,36.5,56,159,3,NO,NO,73.0
256,ANM_0512,SAMBAR_DEER,TRAUMA,YELLOW_URGENT,7.4,36.4,79,113,3,NO,NO,62.0
257,ANM_0257,WILD_DOG,GI,ORANGE_VERY_URGENT,11.6,40.8,38,185,1,NO,NO,58.0
258,ANM_0516,LANGUR,NEURO,YELLOW_URGENT,10.6,36.8,31,200,3,NO,NO,49.0
259,ANM_0259,WILD_DOG,GI,GREEN_STANDARD,10.0,36.3,74,164,3,YES,NO,59.0
260,ANM_0065,LANGUR,NEURO,ORANGE_VERY_URGENT,2.3,38.6,61,129,3,NO,NO,72.0
261,ANM_0130,PEAFOWL,OBSTETRIC,RED_IMMEDIATE,0.8,36.8,59,72,0,NO,NO,69.0
262,ANM_0525,OTTER,OBSTETRIC,ORANGE_VERY_URGENT,6.1,37.1,23,160,3,NO,NO,69.0
263,ANM_0263,TIGER,TRAUMA,ORANGE_VERY_URGENT,6.2,38.6,57,116,3,NO,NO,68.0
264,ANM_0264,PEAFOWL,NEURO,YELLOW_URGENT,4.3,36.1,26,135,3,NO,YES,64.0
265,ANM_0530,CHITAL,RESPIRATORY,GREEN_STANDARD,7.5,41.0,48,97,3,YES,NO,55.0
266,ANM_0266,LANGUR,FEVER,RED_IMMEDIATE,0.7,39.6,21,147,0,NO,NO,65.0
267,ANM_0534,CROCODILE,TRAUMA,ORANGE_VERY_URGENT,0.9,37.0,64,129,0,NO,NO,53.0
268,ANM_0134,CROCODILE,OBSTETRIC,GREEN_STANDARD,9.7,36.4,75,70,3,YES,NO,59.0
269,ANM_0539,SAMBAR_DEER,TRAUMA,YELLOW_URGENT,10.6,40.5,72,67,2,YES,NO,66.0
270,ANM_0135,BARASINGHA,OBSTETRIC,YELLOW_URGENT,5.0,39.2,38,89,3,YES,NO,56.0
271,ANM_0033,LEOPARD,TRAUMA,YELLOW_URGENT,10.0,36.2,41,93,2,YES,NO,62.0
272,ANM_0272,RHINO,RESPIRATORY,YELLOW_URGENT,1.9,37.9,58,95,3,NO,NO,48.0
273,ANM_0008,OTTER,RESPIRATORY,YELLOW_URGENT,10.1,39.9,34,68,2,NO,YES,51.0
274,ANM_0549,HORNBILL,OBSTETRIC,YELLOW_URGENT,10.5,39.9,53,87,3,NO,NO,53.0
275,ANM_0550,HYENA,OBSTETRIC,YELLOW_URGENT,11.8,36.2,44,192,0,YES,NO,46.0
276,ANM_0138,CROCODILE,RESPIRATORY,GREEN_STANDARD,4.3,39.6,72,97,1,YES,NO,38.0
277,ANM_0277,RHINO,FEVER,GREEN_STANDARD,9.9,37.8,72,70,3,NO,NO,37.0
278,ANM_0557,CHITAL,NEURO,ORANGE_VERY_URGENT,10.8,40.8,20,124,0,NO,NO,50.0
279,ANM_0558,OTTER,TRAUMA,YELLOW_URGENT,6.0,37.1,62,181,3,NO,YES,67.0
280,ANM_0560,NILGAI,TRAUMA,ORANGE_VERY_URGENT,0.6,38.9,58,136,2,NO,YES,70.0
281,ANM_0281,CHITAL,OBSTETRIC,ORANGE_VERY_URGENT,10.3,40.9,63,84,1,NO,NO,66.0
282,ANM_0564,RHINO,OBSTETRIC,GREEN_STANDARD,7.6,40.9,50,133,3,NO,NO,43.0
283,ANM_0283,WILD_BOAR,GI,ORANGE_VERY_URGENT,7.7,39.1,44,175,0,NO,NO,44.0
284,ANM_0284,ELEPHANT,GI,YELLOW_URGENT,3.5,40.7,43,176,3,NO,YES,68.0
285,ANM_0570,MACAQUE,RESPIRATORY,YELLOW_URGENT,10.7,38.7,41,178,3,NO,YES,58.0
286,ANM_0286,WILD_DOG,GI,ORANGE_VERY_URGENT,10.0,37.7,56,93,3,NO,NO,68.0
287,ANM_0574,HYENA,FEVER,YELLOW_URGENT,11.4,37.1,39,104,0,NO,YES,35.0
288,ANM_0072,SAMBAR_DEER,NEURO,YELLOW_URGENT,9.2,39.0,26,109,2,YES,NO,48.0
289,ANM_0289,ELEPHANT,FEVER,YELLOW_URGENT,7.9,36.3,60,138,1,NO,YES,52.0
290,ANM_0290,RHINO,TRAUMA,ORANGE_VERY_URGENT,1.1,39.0,53,173,0,YES,NO,56.0
291,ANM_0583,OTTER,TRAUMA,GREEN_STANDARD,9.1,38.3,28,83,3,YES,NO,41.0
292,ANM_0585,BARASINGHA,FEVER,YELLOW_URGENT,0.6,38.4,42,182,3,NO,NO,48.0
293,ANM_0293,SLOTH_BEAR,GI,YELLOW_URGENT,2.7,39.7,78,165,3,NO,YES,67.0
294,ANM_0589,PEAFOWL,GI,ORANGE_VERY_URGENT,7.2,37.6,26,173,1,NO,NO,48.0
295,ANM_0590,HORNBILL,TRAUMA,YELLOW_URGENT,7.2,40.1,40,186,0,YES,NO,42.0
296,ANM_0296,WILD_DOG,NEURO,YELLOW_URGENT,7.8,39.9,70,121,3,NO,NO,57.0
297,ANM_0595,WILD_BOAR,NEURO,ORANGE_VERY_URGENT,4.7,37.9,54,114,1,NO,NO,52.0
298,ANM_0596,WILD_BOAR,FEVER,GREEN_STANDARD,2.0,41.0,62,92,1,YES,NO,43.0
299,ANM_0598,LANGUR,NEURO,YELLOW_URGENT,5.2,36.9,52,168,3,NO,NO,53.0
300,ANM_0300,OTTER,OBSTETRIC,YELLOW_URGENT,3.5,37.5,52,112,1,NO,NO,32.0
301,ANM_0301,ELEPHANT,FEVER,YELLOW_URGENT,8.8,40.2,23,122,0,NO,YES,40.0
302,ANM_0302,HORNBILL,OBSTETRIC,RED_IMMEDIATE,8.1,39.3,31,90,0,NO,NO,60.0
303,ANM_0075,ELEPHANT,GI,YELLOW_URGENT,7.0,39.4,29,98,2,YES,NO,48.0
304,ANM_0609,RHINO,TRAUMA,ORANGE_VERY_URGENT,4.9,37.5,67,196,1,NO,NO,56.0
305,ANM_0076,OTTER,GI,YELLOW_URGENT,9.5,37.1,53,157,3,NO,NO,53.0
306,ANM_0153,MACAQUE,RESPIRATORY,YELLOW_URGENT,11.4,40.9,49,132,3,NO,NO,58.0
307,ANM_0614,CHITAL,FEVER,ORANGE_VERY_URGENT,0.5,36.5,80,115,0,NO,YES,63.0
308,ANM_0617,SAMBAR_DEER,TRAUMA,YELLOW_URGENT,4.1,36.3,72,127,1,NO,NO,46.0
309,ANM_0618,WILD_DOG,OBSTETRIC,YELLOW_URGENT,7.8,36.5,54,170,1,NO,YES,47.0
310,ANM_0310,NILGAI,RESPIRATORY,ORANGE_VERY_URGENT,9.5,39.7,35,178,2,NO,NO,61.0
311,ANM_0623,ELEPHANT,FEVER,YELLOW_URGENT,11.5,36.4,49,134,1,YES,YES,64.0
312,ANM_0078,ELEPHANT,RESPIRATORY,ORANGE_VERY_URGENT,6.7,36.8,46,175,3,NO,NO,73.0
313,ANM_0627,LEOPARD,GI,ORANGE_VERY_URGENT,9.7,39.3,49,197,1,NO,NO,52.0
314,ANM_0629,SLOTH_BEAR,NEURO,RED_IMMEDIATE,3.8,40.0,49,103,0,NO,YES,79.0
315,ANM_0315,PEAFOWL,OBSTETRIC,RED_IMMEDIATE,8.0,36.7,38,126,2,NO,NO,81.0
316,ANM_0632,GAUR,GI,ORANGE_VERY_URGENT,4.6,36.8,35,70,1,YES,NO,65.0
317,ANM_0635,LANGUR,GI,ORANGE_VERY_URGENT,2.3,39.5,58,106,3,NO,YES,78.0
318,ANM_0318,SLOTH_BEAR,NEURO,ORANGE_VERY_URGENT,8.5,39.0,33,143,1,YES,NO,60.0
319,ANM_0319,NILGAI,GI,YELLOW_URGENT,8.2,37.3,31,67,3,NO,NO,49.0
320,ANM_0080,GAUR,FEVER,GREEN_STANDARD,1.0,36.8,39,133,3,YES,NO,46.0
321,ANM_0643,SAMBAR_DEER,RESPIRATORY,ORANGE_VERY_URGENT,0.6,38.8,37,94,0,NO,NO,40.0
322,ANM_0645,MACAQUE,RESPIRATORY,YELLOW_URGENT,10.1,37.4,66,169,1,YES,NO,53.0
323,ANM_0647,CROCODILE,TRAUMA,YELLOW_URGENT,4.9,40.0,64,85,3,NO,YES,67.0
324,ANM_0324,SAMBAR_DEER,FEVER,YELLOW_URGENT,2.0,39.1,59,122,2,NO,NO,40.0
325,ANM_0651,SAMBAR_DEER,NEURO,GREEN_STANDARD,6.6,40.0,70,80,2,NO,YES,44.0
326,ANM_0652,NILGAI,TRAUMA,ORANGE_VERY_URGENT,4.5,39.1,43,153,1,NO,NO,52.0
327,ANM_0654,WILD_DOG,NEURO,GREEN_STANDARD,4.0,40.5,52,168,2,YES,NO,47.0
328,ANM_0328,SLOTH_BEAR,TRAUMA,ORANGE_VERY_URGENT,3.0,38.7,70,74,1,NO,NO,56.0
329,ANM_0659,HYENA,OBSTETRIC,YELLOW_URGENT,5.1,37.7,61,143,3,NO,NO,52.0
330,ANM_0165,LANGUR,TRAUMA,ORANGE_VERY_URGENT,0.7,37.0,22,140,2,NO,NO,61.0
331,ANM_0662,GAUR,RESPIRATORY,ORANGE_VERY_URGENT,0.7,37.6,28,172,2,NO,NO,56.0
332,ANM_0166,OTTER,GI,ORANGE_VERY_URGENT,9.1,37.0,42,72,2,NO,NO,65.0
333,ANM_0666,LEOPARD,RESPIRATORY,YELLOW_URGENT,1.6,36.1,59,116,3,NO,NO,58.0
334,ANM_0334,OTTER,NEURO,GREEN_STANDARD,7.4,37.8,62,104,3,NO,NO,37.0
335,ANM_0670,CHITAL,GI,GREEN_STANDARD,1.2,39.6,48,166,3,NO,NO,38.0
336,ANM_0168,SAMBAR_DEER,TRAUMA,GREEN_STANDARD,1.1,39.0,72,106,2,NO,YES,39.0
337,ANM_0337,ELEPHANT,NEURO,YELLOW_URGENT,8.8,37.7,20,127,1,YES,YES,50.0
338,ANM_0676,ELEPHANT,OBSTETRIC,GREEN_STANDARD,7.1,38.8,75,126,3,NO,NO,37.0
339,ANM_0169,CHITAL,FEVER,YELLOW_URGENT,8.7,36.8,48,149,3,YES,NO,65.0
340,ANM_0680,CHITAL,FEVER,YELLOW_URGENT,8.3,36.5,57,150,1,YES,NO,49.0
341,ANM_0683,GAUR,TRAUMA,YELLOW_URGENT,3.9,37.8,72,173,2,YES,NO,56.0
342,ANM_0342,LEOPARD,TRAUMA,ORANGE_VERY_URGENT,11.7,38.0,55,198,2,NO,NO,60.0
343,ANM_0686,LEOPARD,GI,ORANGE_VERY_URGENT,3.2,36.3,62,62,0,NO,NO,58.0
344,ANM_0172,NILGAI,FEVER,YELLOW_URGENT,6.9,39.0,63,175,2,NO,NO,44.0
345,ANM_0345,WILD_BOAR,GI,YELLOW_URGENT,8.0,36.5,54,159,1,NO,NO,37.0
346,ANM_0693,BLACKBUCK,RESPIRATORY,GREEN_STANDARD,10.8,40.0,80,154,1,YES,NO,38.0
347,ANM_0694,RHINO,GI,YELLOW_URGENT,8.0,36.4,29,161,3,NO,NO,54.0
348,ANM_0348,BLACKBUCK,OBSTETRIC,YELLOW_URGENT,11.2,38.9,35,181,2,YES,NO,48.0
349,ANM_0043,BARASINGHA,OBSTETRIC,ORANGE_VERY_URGENT,10.2,39.6,39,189,2,NO,NO,61.0
350,ANM_0700,MACAQUE,GI,YELLOW_URGENT,6.6,40.0,54,199,0,NO,YES,39.0
351,ANM_0351,HORNBILL,FEVER,ORANGE_VERY_URGENT,8.8,40.0,25,159,3,NO,NO,69.0
352,ANM_0352,CROCODILE,GI,GREEN_STANDARD,0.3,39.5,57,193,3,YES,YES,55.0
353,ANM_0088,BLACKBUCK,TRAUMA,ORANGE_VERY_URGENT,10.1,36.6,80,90,1,NO,NO,61.0
354,ANM_0709,MACAQUE,OBSTETRIC,GREEN_STANDARD,8.1,36.8,39,153,3,YES,NO,46.0
355,ANM_0711,PEAFOWL,TRAUMA,YELLOW_URGENT,3.4,38.8,53,181,3,YES,NO,60.0
356,ANM_0356,CHITAL,FEVER,ORANGE_VERY_URGENT,6.0,39.5,26,118,1,NO,NO,48.0
357,ANM_0357,BARASINGHA,FEVER,GREEN_STANDARD,7.3,36.4,48,114,3,NO,NO,43.0
358,ANM_0179,ELEPHANT,RESPIRATORY,GREEN_STANDARD,7.8,38.2,63,192,2,YES,NO,41.0
359,ANM_0718,TIGER,FEVER,GREEN_STANDARD,3.5,38.8,61,70,3,NO,YES,47.0
360,ANM_0360,WILD_DOG,FEVER,YELLOW_URGENT,5.7,38.0,79,91,0,YES,NO,40.0
361,ANM_0723,RHINO,FEVER,YELLOW_URGENT,5.8,37.2,37,97,2,NO,NO,41.0
362,ANM_0724,CHITAL,TRAUMA,YELLOW_URGENT,10.9,36.2,67,73,1,NO,NO,46.0
363,ANM_0363,BLACKBUCK,OBSTETRIC,RED_IMMEDIATE,9.4,39.8,20,181,1,NO,NO,73.0
364,ANM_0045,CHITAL,FEVER,ORANGE_VERY_URGENT,9.5,39.0,40,179,3,NO,NO,64.0
365,ANM_0182,OTTER,FEVER,ORANGE_VERY_URGENT,3.8,38.7,52,103,1,YES,NO,64.0
366,ANM_0733,WILD_DOG,FEVER,GREEN_STANDARD,2.2,38.0,47,126,1,YES,NO,29.0
367,ANM_0367,BARASINGHA,FEVER,ORANGE_VERY_URGENT,8.6,40.5,39,108,1,NO,NO,58.0
368,ANM_0736,WILD_DOG,GI,ORANGE_VERY_URGENT,9.6,36.1,36,120,3,NO,NO,74.0
369,ANM_0369,WILD_BOAR,NEURO,RED_IMMEDIATE,8.6,38.9,32,147,1,NO,NO,68.0
370,ANM_0741,CROCODILE,GI,ORANGE_VERY_URGENT,1.6,36.2,28,187,2,NO,NO,66.0
371,ANM_0742,CHITAL,FEVER,YELLOW_URGENT,9.2,37.3,40,171,1,NO,NO,33.0
372,ANM_0744,MACAQUE,FEVER,ORANGE_VERY_URGENT,5.7,36.6,77,186,0,NO,NO,53.0
373,ANM_0747,BLACKBUCK,TRAUMA,ORANGE_VERY_URGENT,6.1,36.5,41,66,2,NO,NO,65.0
374,ANM_0749,MACAQUE,GI,YELLOW_URGENT,3.4,39.3,41,71,3,NO,NO,48.0
375,ANM_0187,OTTER,TRAUMA,ORANGE_VERY_URGENT,5.7,37.3,35,96,0,YES,NO,57.0
376,ANM_0752,WILD_BOAR,FEVER,YELLOW_URGENT,11.5,36.8,39,185,3,NO,NO,49.0
377,ANM_0188,HORNBILL,GI,ORANGE_VERY_URGENT,10.4,36.8,40,140,1,NO,NO,53.0
378,ANM_0047,CHITAL,RESPIRATORY,GREEN_STANDARD,1.9,36.2,50,78,3,NO,NO,43.0
379,ANM_0379,PEAFOWL,FEVER,ORANGE_VERY_URGENT,9.9,37.5,38,176,2,NO,NO,56.0
380,ANM_0760,LANGUR,OBSTETRIC,GREEN_STANDARD,4.2,40.6,71,107,1,YES,NO,43.0
381,ANM_0763,NILGAI,NEURO,YELLOW_URGENT,8.3,38.0,39,82,1,YES,NO,40.0
382,ANM_0382,OTTER,OBSTETRIC,RED_IMMEDIATE,11.9,39.3,61,65,0,NO,NO,68.0
383,ANM_0766,LANGUR,GI,YELLOW_URGENT,10.3,38.9,32,135,3,YES,YES,66.0
384,ANM_0768,PEAFOWL,NEURO,YELLOW_URGENT,8.2,40.1,51,119,0,NO,NO,34.0
385,ANM_0770,LANGUR,NEURO,YELLOW_URGENT,2.1,39.6,50,148,3,YES,NO,65.0
386,ANM_0773,HORNBILL,GI,ORANGE_VERY_URGENT,5.1,41.0,39,120,1,NO,NO,58.0
387,ANM_0775,RHINO,OBSTETRIC,ORANGE_VERY_URGENT,6.8,38.4,41,150,0,NO,NO,44.0
388,ANM_0194,GAUR,NEURO,ORANGE_VERY_URGENT,5.8,38.3,58,191,1,NO,NO,52.0
389,ANM_0097,CHITAL,RESPIRATORY,GREEN_STANDARD,5.3,36.5,60,85,3,YES,NO,50.0
390,ANM_0390,HORNBILL,FEVER,GREEN_STANDARD,1.3,40.1,31,89,3,NO,NO,39.0
391,ANM_0391,WILD_BOAR,NEURO,GREEN_STANDARD,9.6,39.2,71,102,0,YES,NO,25.0
392,ANM_0785,WILD_DOG,OBSTETRIC,YELLOW_URGENT,7.5,38.2,42,163,1,NO,YES,42.0
393,ANM_0786,OTTER,FEVER,YELLOW_URGENT,8.7,40.4,53,198,2,YES,NO,62.0
394,ANM_0197,PEAFOWL,OBSTETRIC,ORANGE_VERY_URGENT,0.8,38.4,53,157,1,NO,NO,52.0
395,ANM_0395,BARASINGHA,OBSTETRIC,YELLOW_URGENT,8.5,36.5,62,123,3,NO,NO,57.0
396,ANM_0792,NILGAI,NEURO,YELLOW_URGENT,7.1,38.6,45,127,3,NO,NO,48.0
397,ANM_0198,PEAFOWL,NEURO,ORANGE_VERY_URGENT,0.4,37.6,29,165,1,NO,NO,48.0
398,ANM_0398,HYENA,TRAUMA,YELLOW_URGENT,9.7,38.2,74,187,3,NO,NO,52.0
399,ANM_0798,MACAQUE,NEURO,GREEN_STANDARD,1.8,36.7,60,177,3,NO,YES,48.0
400,ANM_0800,LANGUR,NEURO,ORANGE_VERY_URGENT,1.2,36.8,21,139,0,NO,YES,55.0
401,ANM_0802,SLOTH_BEAR,TRAUMA,ORANGE_VERY_URGENT,2.6,40.1,73,173,0,NO,NO,58.0
402,ANM_0201,OTTER,FEVER,ORANGE_VERY_URGENT,11.7,37.5,38,113,3,NO,NO,64.0
403,ANM_0806,GAUR,GI,GREEN_STANDARD,3.2,40.7,77,90,0,YES,NO,35.0
404,ANM_0202,SAMBAR_DEER,FEVER,ORANGE_VERY_URGENT,8.2,37.9,45,148,1,NO,NO,52.0
405,ANM_0006,WILD_BOAR,FEVER,YELLOW_URGENT,10.0,36.8,42,113,2,NO,NO,45.0
406,ANM_0406,WILD_BOAR,NEURO,YELLOW_URGENT,10.6,38.5,44,167,1,NO,NO,32.0
407,ANM_0815,TIGER,OBSTETRIC,YELLOW_URGENT,10.8,39.4,46,185,3,NO,NO,48.0
408,ANM_0817,HORNBILL,FEVER,YELLOW_URGENT,10.1,40.1,20,91,3,NO,NO,54.0
409,ANM_0409,SLOTH_BEAR,OBSTETRIC,YELLOW_URGENT,7.7,39.6,68,150,3,NO,NO,57.0
410,ANM_0821,PEAFOWL,NEURO,YELLOW_URGENT,6.9,36.3,28,76,1,NO,NO,38.0
411,ANM_0823,TIGER,GI,YELLOW_URGENT,11.3,36.3,80,142,3,NO,NO,62.0
412,ANM_0412,CHITAL,RESPIRATORY,GREEN_STANDARD,0.6,40.1,26,117,3,YES,NO,51.0
413,ANM_0103,SAMBAR_DEER,TRAUMA,YELLOW_URGENT,8.3,39.7,23,187,2,NO,NO,41.0
414,ANM_0828,CROCODILE,RESPIRATORY,GREEN_STANDARD,9.4,39.1,68,84,3,NO,YES,47.0
415,ANM_0831,HORNBILL,GI,ORANGE_VERY_URGENT,7.3,39.3,20,176,3,NO,NO,64.0
416,ANM_0416,OTTER,FEVER,ORANGE_VERY_URGENT,7.1,37.3,41,179,1,YES,NO,69.0
417,ANM_0835,NILGAI,FEVER,YELLOW_URGENT,6.6,36.7,50,139,2,NO,NO,45.0
418,ANM_0837,WILD_DOG,TRAUMA,ORANGE_VERY_URGENT,8.1,39.5,49,144,2,NO,NO,60.0
419,ANM_0839,WILD_DOG,RESPIRATORY,YELLOW_URGENT,9.3,40.1,71,156,1,NO,NO,46.0
420,ANM_0420,TIGER,TRAUMA,YELLOW_URGENT,5.5,40.5,59,122,0,NO,NO,34.0
421,ANM_0421,RHINO,GI,ORANGE_VERY_URGENT,8.7,36.1,53,155,3,NO,NO,78.0
422,ANM_0845,LEOPARD,OBSTETRIC,YELLOW_URGENT,10.3,37.5,29,143,1,YES,NO,40.0
423,ANM_0211,WILD_BOAR,GI,YELLOW_URGENT,1.2,39.3,31,95,3,NO,NO,44.0
424,ANM_0849,HYENA,GI,ORANGE_VERY_URGENT,5.2,37.9,30,155,2,NO,YES,66.0
425,ANM_0850,ELEPHANT,FEVER,YELLOW_URGENT,4.3,38.9,49,191,2,NO,NO,40.0
426,ANM_0853,LEOPARD,OBSTETRIC,ORANGE_VERY_URGENT,2.5,37.6,39,130,1,NO,NO,48.0
427,ANM_0053,GAUR,NEURO,ORANGE_VERY_URGENT,5.1,37.7,49,166,0,YES,NO,56.0
428,ANM_0856,MACAQUE,RESPIRATORY,YELLOW_URGENT,9.5,39.8,66,178,2,NO,NO,49.0
429,ANM_0859,OTTER,FEVER,ORANGE_VERY_URGENT,0.5,39.9,79,95,1,NO,NO,61.0
430,ANM_0861,WILD_BOAR,RESPIRATORY,YELLOW_URGENT,4.1,40.8,60,137,0,YES,NO,46.0
431,ANM_0013,CHITAL,GI,ORANGE_VERY_URGENT,0.2,39.6,66,127,1,NO,YES,71.0
432,ANM_0108,WILD_BOAR,OBSTETRIC,YELLOW_URGENT,9.5,36.1,54,91,3,NO,NO,58.0
433,ANM_0433,CHITAL,OBSTETRIC,RED_IMMEDIATE,2.5,38.4,41,138,1,NO,NO,72.0
434,ANM_0868,SLOTH_BEAR,GI,ORANGE_VERY_URGENT,10.8,39.7,49,158,1,NO,YES,67.0
435,ANM_0871,BLACKBUCK,GI,ORANGE_VERY_URGENT,2.6,36.2,21,78,3,NO,NO,74.0
436,ANM_0054,PEAFOWL,NEURO,RED_IMMEDIATE,10.6,38.9,50,61,2,NO,NO,80.0
437,ANM_0875,WILD_DOG,NEURO,RED_IMMEDIATE,8.2,37.1,64,72,0,NO,NO,73.0
438,ANM_0109,SAMBAR_DEER,OBSTETRIC,YELLOW_URGENT,7.7,37.9,63,119,3,YES,NO,64.0
439,ANM_0878,SLOTH_BEAR,NEURO,ORANGE_VERY_URGENT,5.1,36.5,40,142,1,NO,NO,53.0
440,ANM_0880,WILD_DOG,GI,ORANGE_VERY_URGENT,8.0,37.4,59,154,0,YES,NO,61.0
441,ANM_0882,WILD_BOAR,NEURO,GREEN_STANDARD,9.3,36.7,31,141,3,YES,YES,56.0
442,ANM_0442,SAMBAR_DEER,NEURO,ORANGE_VERY_URGENT,6.6,36.9,61,156,2,NO,NO,69.0
443,ANM_0443,ELEPHANT,OBSTETRIC,ORANGE_VERY_URGENT,11.7,37.1,45,150,2,NO,NO,65.0
444,ANM_0444,HORNBILL,TRAUMA,YELLOW_URGENT,1.8,36.8,24,191,2,YES,NO,53.0
445,ANM_0891,WILD_BOAR,RESPIRATORY,YELLOW_URGENT,5.2,39.0,47,99,3,YES,NO,60.0
446,ANM_0892,ELEPHANT,FEVER,YELLOW_URGENT,2.0,39.6,36,157,3,NO,NO,49.0
447,ANM_0894,NILGAI,GI,YELLOW_URGENT,5.1,38.0,67,155,3,NO,NO,52.0
448,ANM_0897,LEOPARD,FEVER,YELLOW_URGENT,8.2,39.5,61,97,2,NO,NO,44.0
449,ANM_0449,SLOTH_BEAR,NEURO,YELLOW_URGENT,11.1,39.0,24,118,3,NO,YES,54.0
450,ANM_0901,NILGAI,RESPIRATORY,ORANGE_VERY_URGENT,2.7,39.7,64,138,0,NO,NO,53.0
451,ANM_0903,GAUR,RESPIRATORY,YELLOW_URGENT,6.1,36.6,56,114,1,YES,NO,49.0
452,ANM_0028,CROCODILE,FEVER,GREEN_STANDARD,2.6,39.6,35,127,3,YES,NO,46.0
453,ANM_0907,SAMBAR_DEER,GI,YELLOW_URGENT,4.2,38.1,43,147,2,NO,NO,40.0
454,ANM_0908,WILD_BOAR,GI,YELLOW_URGENT,11.7,40.4,71,85,0,NO,NO,38.0
455,ANM_0911,BARASINGHA,NEURO,YELLOW_URGENT,7.4,38.0,59,80,2,NO,NO,40.0
456,ANM_0007,ELEPHANT,OBSTETRIC,YELLOW_URGENT,6.5,37.2,49,157,2,NO,NO,45.0
457,ANM_0914,RHINO,GI,YELLOW_URGENT,3.0,37.1,68,82,0,NO,NO,33.0
458,ANM_0458,SLOTH_BEAR,TRAUMA,ORANGE_VERY_URGENT,4.9,37.7,55,73,1,NO,NO,52.0
459,ANM_0459,ELEPHANT,RESPIRATORY,YELLOW_URGENT,7.3,36.4,36,116,2,YES,YES,68.0
460,ANM_0920,GAUR,OBSTETRIC,YELLOW_URGENT,7.2,36.5,20,197,3,NO,NO,49.0
461,ANM_0923,LEOPARD,FEVER,ORANGE_VERY_URGENT,8.7,40.2,79,117,0,NO,NO,58.0
462,ANM_0462,NILGAI,RESPIRATORY,YELLOW_URGENT,11.7,36.4,37,162,2,NO,NO,46.0
463,ANM_0231,HORNBILL,TRAUMA,GREEN_STANDARD,2.4,39.8,66,115,3,YES,NO,54.0
464,ANM_0116,PEAFOWL,RESPIRATORY,GREEN_STANDARD,2.9,39.9,70,60,2,NO,YES,44.0
465,ANM_0465,ELEPHANT,OBSTETRIC,ORANGE_VERY_URGENT,11.4,40.0,36,197,2,NO,NO,61.0
466,ANM_0233,WILD_BOAR,RESPIRATORY,YELLOW_URGENT,9.4,37.9,54,151,2,NO,NO,40.0
